ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
SMTO3,SMALL11,SMALL11,Bens de primeira necessidade,56.6,57.77,50.0,,,0.0,53.65,81.62,51.46,29.29,60,Não,1,5,False,,True,,False,True,False,True,False,3,6,False,False,,False,False,,True,,True,,True,4767361536.0,5.84,0.65,147.0,3.4,11.89,,11.25,,2.62,1.61,0.61,14.770000457763672,3.59,6.66,33.52,36.04,32.72,34.09,33.52,30.17,3.0,104.27,130.82,2026-08-10,2026-07-06,última,,,Em Baixa,16.049999237060547,-7.975070655089322,-30.972154068809864,True,False,False,sem sinal (Em Baixa; sem novo topo (-8.0%))
BRBI11,SMALL11,SMALL11,Produtos financeiros,56.35,55.71,60.0,20.63,,0.4,46.86,24.48,100.0,85.0,61,Não,2,3,False,,True,,False,True,,False,True,3,5,True,True,,,False,,,,True,,True,,29.55,1.72,13.17,11.45,21.35,,0.0,,,,,13.0,10.63,15.47,4.58,8.65,,10.23,10.63,9.56,3.0,-26.42,-21.34,n/d,2026-05-19,última,,,Em Baixa,14.739999771118164,-11.804611927657916,-39.52341924380666,True,False,False,sem sinal (Em Baixa; sem novo topo (-11.8%))
BMOB3,SMALL11,SMALL11,Comunicação,56.3,51.53,83.33333333333333,,,0.4,57.76,28.28,66.63,51.43,62,Não,4,5,False,,True,,False,True,True,True,True,5,6,True,True,,False,True,,True,,True,,True,1902465664.0,12.15,1.99,7.78,5.97,15.55,,8.91,,1.78,0.05,2.85,22.850000381469727,9.75,14.61,20.12,22.03,19.24,17.15,19.24,17.31,5.0,-24.23,-24.94,n/d,2026-05-18,última,,,Lateral,24.030000686645508,-4.910529635696426,-19.575007222087613,True,False,False,sem sinal (Lateral; sem novo topo (-4.9%))
EGIE3,BOVA11,BOVA11,Serviços públicos,55.17,56.08,50.0,,,0.0,90.61,28.97,13.17,54.29,63,Não,5,5,True,,True,,False,True,False,True,False,3,6,True,True,,True,True,,True,,True,,True,42109022208.0,13.33,2.66,5.85,6.07,28.59,,28.94,,1.09,2.06,2.45,29.729999542236328,12.89,22.25,27.49,23.67,25.68,22.4,23.67,21.3,5.0,-28.34,-24.66,2026-08-05,2026-08-21,próxima,,,Em Baixa,30.399999618530273,-2.20394764704388,-23.41079410625997,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.2%))
MDIA3,SMALL11,SMALL11,Bens de primeira necessidade,55.16,53.13,66.66666666666667,,,0.0,37.55,63.35,88.08,27.86,64,Não,1,5,False,,True,,False,False,True,True,True,4,6,False,False,,False,False,,True,,True,,True,5869154816.0,8.49,0.7,2.06,3.22,8.54,,6.67,,2.65,0.21,1.37,17.489999771118164,4.02,7.46,27.29,33.99,19.42,26.9,27.29,24.57,3.0,40.45,53.81,2026-08-13,2026-08-24,próxima,,,Em Baixa,18.008699417114258,-2.8802726614624685,-39.6228216922185,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.9%))
SEER3,SMALL11,SMALL11,Consumo discricionário,54.42,58.14,33.333333333333336,,,0.8,64.82,84.67,31.16,15.71,65,Não,4,5,False,,False,,False,True,False,True,False,2,6,True,True,,False,True,,True,,True,,True,1539046528.0,1.65,1.09,3.97,2.41,18.48,,10.92,,1.56,1.16,0.11,12.020000457763672,2.07,3.83,96.46,42.6,126.72,69.53,69.53,62.58,2.0,420.6,478.44,n/d,2026-04-07,última,,,Em Alta,12.350000381469727,-2.672064077027847,-14.932764611380422,True,False,False,sem sinal (Em Alta; sem novo topo (-2.7%))
CMIN3,BOVA11,BOVA11,Materiais,54.2,57.88,33.333333333333336,,,1.0,74.58,41.24,23.28,93.57,66,Não,3,5,False,,True,,False,True,False,False,False,2,6,True,True,,False,False,,True,,True,,True,29443272704.0,13.29,4.18,11.47,16.62,25.74,,12.51,,1.37,1.31,,5.449999809265137,6.47,9.42,4.26,3.47,,5.91,5.37,4.83,4.0,-11.37,8.35,n/d,2026-04-17,última,,,Em Alta,5.980000019073486,-8.862879734412864,-14.481158156011853,True,False,False,sem sinal (Em Alta; sem novo topo (-8.9%))
IGTI11,BOVA11+SMALL11,BOVA11,Imobiliário,54.18,51.98,66.66666666666667,,,0.8,76.05,20.6,54.86,16.43,67,Não,1,4,False,,True,,False,True,True,False,True,4,6,False,False,,True,False,,,,True,,True,,149.26,1.46,2.77,2.45,13.51,,41.91,,2.73,0.9,,24.329999923706055,4.26,6.2,1.7,7.82,,6.09,6.2,5.58,3.0,-77.06,-74.96,n/d,2026-10-16,próxima,,,Em Baixa,25.729999542236328,-5.44111793018941,-20.037062853148278,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.4%))
MOTV3,BOVA11,BOVA11,Bens Industriais,53.88,54.57,50.0,,,0.7,78.21,53.7,23.32,12.86,68,Não,4,5,False,,True,,False,True,False,True,False,3,6,True,True,,True,False,,True,,True,,True,29124020224.0,8.62,1.64,144.0,2.26,21.97,,19.27,,1.77,2.45,0.57,14.489999771118164,2.34,4.34,22.26,18.27,28.99,23.17,22.26,20.03,3.0,38.26,59.93,2026-10-29,2026-04-22,última,,,Lateral,14.970000267028809,-3.2064160811529074,-18.352504951900016,True,False,False,sem sinal (Lateral; sem novo topo (-3.2%))
TOTS3,BOVA11+SMALL11,BOVA11,Tecnologia de informação,53.8,48.59,83.33333333333333,,,0.5,74.45,19.81,46.38,8.57,69,Não,5,5,True,,True,,False,True,True,True,True,5,6,True,True,,True,True,,True,,True,,True,18462611456.0,21.19,3.76,2.58,1.39,16.7,,21.89,,1.84,0.92,1.8,32.209999084472656,3.19,5.92,20.14,17.11,20.03,19.09,20.03,18.02,3.0,-44.05,-40.73,2026-11-04,2026-06-16,última,,,Em Alta,32.5099983215332,-0.9227906876323688,-32.45081207696994,True,False,False,sem sinal (Em Alta; sem novo topo (-0.9%))
WEGE3,BOVA11,BOVA11,Bens Industriais,53.0,50.59,66.66666666666667,,,0.7,80.28,10.15,52.12,15.0,70,Não,4,5,False,,True,,False,True,True,False,True,4,6,True,True,,True,False,,True,,True,,True,201903325184.0,32.3,10.71,87.0,2.33,30.79,,15.58,,1.59,0.29,4.24,48.119998931884766,8.01,14.86,19.74,12.28,14.82,13.94,14.82,13.34,5.0,-72.28,-71.03,2026-10-21,2026-06-22,última,,,Lateral,49.16999816894531,-2.1354469720596847,-11.357374687105448,True,False,False,sem sinal (Lateral; sem novo topo (-2.1%))
BRAP4,BOVA11+SMALL11,BOVA11,Basic Materials,52.5,52.94,50.0,,,1.0,25.24,67.17,75.0,97.86,71,Não,3,5,False,,True,,False,False,True,True,False,3,6,False,True,,False,True,,True,,True,,True,8392612864.0,11.42,1.07,16.33,24.1,9.48,,0.0,,5.99,0.0,0.15,21.350000381469727,36.75,68.18,24.78,28.94,56.1,42.95,36.75,33.08,5.0,54.93,101.16,n/d,2025-12-18,última,,,Em Baixa,22.0,-2.954543720592151,-16.6991764316892,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.0%))
SAPR11,SMALL11,SMALL11,Serviços públicos,52.0,52.35,50.0,,,0.0,53.91,54.84,43.33,57.14,72,Não,2,5,False,,True,,False,False,True,False,True,3,6,False,False,,True,False,,True,,True,,True,10288283648.0,42.08,0.81,3.25,6.34,9.9,,16.66,,1.08,0.57,,34.040000915527344,15.41,22.44,8.41,27.66,,18.48,18.93,17.03,4.0,-49.96,-45.71,n/d,2026-01-02,última,,,Em Baixa,37.22999954223633,-8.568355267074413,-30.131362761414803,True,False,False,sem sinal (Em Baixa; sem novo topo (-8.6%))
