ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,roe_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,market_cap,pl,pvp,dy,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_upside_pct,teto_upside_media_pct,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
TIMS3,BOVA11,Communication Services,33.14,33.63,7.58,41.5,71.97,120,Não,2,7,False,False,False,False,True,False,,True,False,44978626560.0,3377.28,1.84,7.61,0.05,0.76,15.78,,0.85,0.66,1350.91,18.829999923706055,23.88,12.5,0.05,1.13,0.06,7.52,1.13,-93.98,-60.04,,Em Baixa,23.09000015258789,-18.449546127024963,-33.579385217539034,False,False,False,sem sinal (-18.4% do topo; Em Baixa)
EQTL3,BOVA11,Utilities,33.04,40.67,20.44,27.0,48.48,121,Não,2,7,False,False,False,True,False,False,,True,False,49205260288.0,31.67,1.91,4.06,6.02,10.19,2.89,,1.56,2.06,,39.209999084472656,26.53,16.15,12.56,23.91,,19.79,20.03,-48.91,-49.53,,Em Baixa,40.95000076293945,-4.249088268739499,-15.349742351457806,False,False,False,sem sinal (-4.2% do topo; Em Baixa)
PCAR3,BOVA11,Consumer Cyclical,32.9,29.38,68.83,2.77,9.47,122,Não,2,7,False,False,False,True,False,False,,True,False,1354504576.0,-0.65,2.05,0.0,-3.16,12.8,-11.18,,0.56,12.38,,2.75,,,,,,,,,,,Em Alta,2.869999885559082,-4.181180848225219,-40.21739006493175,False,False,False,sem sinal (-4.2% do topo; Em Alta)
TUPY3,SMALL11,Industrials,32.64,9.21,59.23,51.16,9.47,123,Não,2,7,False,False,False,False,False,False,,True,True,2068461056.0,-2.83,0.9,0.0,-31.97,2.3,-7.79,,2.24,1.67,,15.779999732971191,,,,,,,,,,,Lateral,16.190000534057617,-2.5324322888312434,-7.2310433824814835,False,False,False,sem sinal (-2.5% do topo; Lateral)
CPLE6,BOVA11,,30.96,46.21,23.92,,9.47,124,Não,1,4,False,False,True,False,,,,,False,,15.67,1.78,0.0,11.39,8.93,,,,,,,,,,,,,,,,,,,,,False,False,False,histórico insuficiente
BRAV3,BOVA11,Energy,30.56,28.69,42.13,21.79,23.48,125,Não,1,7,False,False,False,False,False,False,,True,False,8803092480.0,39.71,0.81,0.62,2.04,7.84,1.96,,1.12,1.74,4.36,18.950000762939453,1.96,1.51,6.13,15.85,4.64,6.02,4.64,-75.52,-68.25,,Em Alta,21.0,-9.761901128859751,-14.427664486670789,False,False,False,sem sinal (-9.8% do topo; Em Alta)
RAIZ4,BOVA11,Utilities,29.7,14.96,76.8,0.0,9.47,126,Não,2,7,False,False,False,False,False,False,,True,True,2896072448.0,-0.1,-0.31,0.0,3.1,2.06,-11.98,,0.43,,,0.2800000011920929,,,,,,,,,,,Em Baixa,0.33000001311302185,-15.15151816185063,-80.5555562454241,False,False,False,sem sinal (-15.2% do topo; Em Baixa)
DXCO3,SMALL11,Basic Materials,28.93,18.45,35.24,52.42,9.47,127,Não,2,7,False,False,False,False,False,False,,True,True,4620962304.0,555.53,0.69,0.0,0.12,3.9,0.1,,2.05,1.27,35.16,5.090000152587891,,,0.12,1.23,0.14,0.5,0.14,-97.16,-90.21,,Em Alta,5.190000057220459,-1.9267804148372925,-18.167197358843357,False,False,False,sem sinal (-1.9% do topo; Em Alta)
ORVR3,SMALL11,Industrials,28.67,42.68,5.38,53.49,9.47,128,Não,2,7,False,False,False,False,False,True,,True,False,9784341504.0,114.16,6.67,0.0,5.84,9.56,7.47,,2.27,1.48,3.04,71.25,,,8.02,12.25,18.72,13.0,12.25,-82.81,-81.76,,Em Baixa,75.94000244140625,-6.175931380862099,-16.077740024207376,False,False,False,sem sinal (-6.2% do topo; Em Baixa)
AURE3,BOVA11,Utilities,28.48,10.71,64.42,19.93,9.47,129,Não,3,7,False,False,False,False,False,True,,True,True,11783483392.0,-9.09,0.99,0.0,-10.86,2.73,-9.73,,1.11,1.82,-2.22,11.279999732971191,,,,,,,,,,,Em Baixa,12.3100004196167,-8.367186446266416,-23.055935536299344,False,False,False,sem sinal (-8.4% do topo; Em Baixa)
