ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,beta,corr_ibov,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
QUAL3,SMALL11,SMALL11,Cuidados de saúde,44.21,50.25,10.0,,,0.2,,53.75,72.0,33.7,13.19,96,Não,3,8,False,,False,,False,False,False,False,True,False,1,10,True,False,True,False,False,False,False,True,False,False,True,0.61,True,469566656.0,18.73,0.37,0.52,1.25,1.96,0.44,22.61,1.09,1.52,2.0,0.92,1.37,12.47,23.37,32.0,3.39,4.68,0.47,66.78,32.76,1.39,2.71,19.4,-38.7,-5.7,1.98,0.58,1.659999966621399,0.14791459244862568,0.16818017860068987,0.7197904071021439,2.9910907353418072,0.24368368424953976,0.1546723890642506,0.32044024305817936,,,,,5,False,20.2,,,n/d,n/d,,,,False,False,,,Em Baixa,1.7200000286102295,-3.4883756389998966,-40.83620757294647,False,False,False,sem sinal (Em Baixa; sem novo topo (-3.5%))
FRAS3,SMALL11,SMALL11,Consumo discricionário,44.03,42.98,50.0,,,0.9,,56.4,17.65,49.98,31.94,97,Não,5,8,False,,True,,False,False,True,False,True,True,5,10,True,False,True,False,True,True,True,False,False,True,True,0.48,True,6062545408.0,20.94,2.43,2.82,3.07,11.62,14.99,15.27,5.39,7.13,1.25,2.41,1.01,5.04,64.22,141.0,13.48,6.9,0.72,65.64,34.06,18.96,25.01,15.3,-12.6,3.1,0.8,0.53,21.860000610351562,4.788512048312659,7.094681498696626,11.047850168875813,14.536168659035294,7.542062724382922,8.467456781983083,5.517158960371534,10.292729284910388,8.66082751582104,8.004759753183002,7.204283777864702,8,True,3.0,-67.04353350084907,-60.38047907592554,n/d,n/d,,,,False,False,,,Lateral,21.979999542236328,-0.5459460163053098,-12.989993084371697,False,False,False,sem sinal (Lateral)
AXIA3,BOVA11+Carteira,BOVA11,Serviços públicos,43.6,40.71,60.0,,,0.1,,44.15,24.05,51.26,45.83,98,Não,3,8,False,,True,,False,False,False,True,True,True,6,10,False,False,False,True,False,True,True,False,True,False,True,0.54,True,113618812928.0,12.25,1.21,2.95,4.28,9.86,5.35,3.25,27.05,14.92,2.95,2.05,0.63,2.61,52.39,9.7,8.57,3.03,0.39,57.63,42.34,40.32,67.15,23.8,-25.7,-9.9,1.4,0.65,49.900001525878906,15.242880503930122,24.009447159453913,45.83017859499177,61.47960781856684,36.54357200545141,26.83972441516266,22.90224047330229,20.14629289566108,31.62424298331501,25.42458578730829,22.88212720857746,8,True,4.0,-54.144035052362796,-36.6247654984255,2026-11-04,2025-11-17,última,"A análise fundamentalista da AXIA3 revela uma empresa de serviços públicos que atualmente entrega uma rentabilidade abaixo de seus pares, com um ROE de 9,9% e um ROIC de 3,2% que se posicionam aquém das médias setoriais de 12,1% e 9,6%, respectivamente. Essa qualidade operacional mais modesta não é compensada por múltiplos de preço descontados, uma vez que o P/L de 12,25 e o P/VP de 1,21 convivem com um PEG elevado de 2,61, sugerindo que o mercado cobra caro pelo crescimento oferecido. No que tange à relação entre rentabilidade e endividamento, embora o retorno sobre o capital seja tímido, a saúde financeira é preservada por uma alavancagem controlada, com a relação Dívida Líquida/EBITDA em 2,95 posicionando-se confortavelmente abaixo da média setorial de 3,42 e uma liquidez corrente robusta de 2,05. Essa estrutura de capital saneada, contudo, não se traduz em proventos robustos, visto que o dividend yield de 2,95% mostra-se acanhado e reflete a falta de tração do lucro para sustentar distribuições maiores sem comprometer o caixa. O crescimento histórico também reforça o ritmo lento da companhia, dado que o CAGR de receita de 5 anos de 9,7% ficou bastante abaixo da média do setor de 22,5%, justificando o fato de a empresa ter atendido a apenas 3 dos 8 critérios do checklist de qualidade. Sob a ótica do valuation, os métodos de preço-teto apresentam uma dispersão acentuada, variando desde os pessimistas R$ 15,24 por Bazin até os R$ 61,48 por Graham, resultando em uma média de R$ 31,62 e uma mediana de R$ 25,42. Frente ao preço atual de R$ 49,90, o preço-teto ajustado com margem de segurança de R$ 22,88 aponta para um expressivo upside negativo de 54,1%, indicando uma forte assimetria de risco no momento. Como prós, destacam-se a excelente liquidez de curto prazo, as margens operacionais elevadas de 27,05% e o endividamento sob controle frente aos pares; em contrapartida, pesam negativamente o fraco crescimento histórico, a rentabilidade inferior à média setorial e o valuation esticado que desfavorece o investidor focado em dividendos e margem de segurança.",,False,True,59.55,-16.2,Em Baixa,53.709999084472656,-7.0936466645653,-26.444569251828966,False,False,False,sem sinal (Em Baixa; sem novo topo (-7.1%))
SUZB3,BOVA11,BOVA11,Materiais,43.4,49.3,10.0,,,1.0,,53.83,63.52,30.36,31.25,99,Não,5,8,False,,False,,False,False,True,False,False,False,1,10,True,True,False,True,False,False,True,True,True,True,False,1.68,False,50691039232.0,6.28,1.03,0.01,3.06,16.44,27.73,5.54,17.08,6.0,3.68,3.38,1.99,0.47,19.24,-64.0,5.64,3.15,0.57,73.83,26.09,39.68,58.97,3.7,-30.2,-5.4,0.4,0.26,41.15999984741211,9.005312310814125,16.7048543365602,86.84235636595707,76.7658723157553,107.09897347887814,22.466806503425346,72.20936292012777,24.98670739971657,,,,6,False,11.9,,,n/d,n/d,,,,False,False,,,Em Baixa,43.099998474121094,-4.50115706587283,-30.990479838037587,False,False,False,sem sinal (Em Baixa; sem novo topo (-4.5%))
USIM5,BOVA11+SMALL11,BOVA11,Materiais,43.38,47.5,20.0,,,1.0,P/L=-3.43<2,10.71,89.86,71.22,59.72,100,Não,4,8,False,,False,,False,False,False,True,True,False,2,10,False,False,False,False,True,True,True,True,False,False,True,-0.02,True,7681082368.0,-3.43,0.38,0.0,6.25,-11.18,-0.65,4.67,-9.36,3.15,-0.18,4.44,0.27,,,301.7,5.78,1.64,1.4,33.58,58.33,3.97,12.04,57.2,-48.2,-26.2,0.92,0.35,6.239999771118164,2.786172722445707,5.168350400136786,,,,,,9.880640959201461,5.945054693927985,5.168350400136786,4.651515360123108,3,True,3.5,-25.456481879171776,-4.726684102703526,n/d,n/d,,,,False,False,,,Em Baixa,8.6899995803833,-28.19332482818223,-48.76847606919572,False,False,False,sem sinal (Em Baixa; sem novo topo (-28.2%))
VAMO3,BOVA11+SMALL11,BOVA11,Bens Industriais,41.84,45.7,20.0,,,0.7,,53.17,53.12,27.86,29.17,101,Não,4,8,False,,True,,False,False,False,False,False,False,2,10,True,False,True,False,False,False,True,True,False,True,False,3.87,False,3335351808.0,10.83,1.04,4.45,2.93,9.57,14.8,15.52,5.1,3.82,3.09,1.67,4.84,1.66,31.7,-1.9,4.52,7.32,0.32,88.84,11.16,2.68,4.82,1.9,-43.4,-18.1,2.04,0.67,2.7300000190734863,0.5707110095428515,1.0586689227019896,3.340027724166546,3.8585400390522215,2.385504908909703,2.641210562583524,1.709131804355622,8.326018625455106,,,,6,False,14.6,,,n/d,n/d,,,,False,False,,,Em Baixa,3.4200000762939453,-20.175439819526897,-44.73684235927826,False,False,False,sem sinal (Em Baixa; sem novo topo (-20.2%))
SAUD3,SMALL11,SMALL11,Cuidados de saúde,40.69,36.11,66.66666666666667,,,0.2,,33.39,19.32,53.13,56.25,102,Não,4,8,False,,True,,False,False,False,,True,True,6,9,False,False,False,False,True,True,True,True,True,True,True,-1.92,True,40402321408.0,38.09,2.15,0.97,6.04,5.63,39.67,4.59,10.5,20.56,-11.59,1.06,,0.03,230.21,1189.0,9.17,3.06,0.66,34.2,65.77,10.45,16.09,32.2,-14.1,-2.9,0.76,0.38,13.819999694824219,5.966211438858616,11.067322219082731,4.807429665435045,7.2439355252555755,10.884746412305763,16.693590942303647,4.390181052963325,7.288139333704887,8.542694573738698,7.266037429480232,6.539433686532209,8,True,3.8,-52.681376042422656,-38.18600027221378,n/d,n/d,,,,False,False,,,Em Baixa,16.09000015258789,-14.108144414147617,-16.137441949234354,False,False,False,sem sinal (Em Baixa; sem novo topo (-14.1%))
AZZA3,BOVA11+SMALL11,BOVA11,Consumo discricionário,40.26,40.31,40.0,,,0.9,,26.72,60.58,46.59,38.19,103,Não,2,8,False,,True,,False,False,False,True,True,True,4,10,False,False,False,False,False,True,True,False,False,True,True,0.02,True,3101378048.0,9.54,0.38,16.53,3.53,4.03,11.4,5.88,2.85,3.64,2.18,2.26,0.49,3.57,33.7,21.9,3.21,3.32,0.93,48.36,51.64,14.87,31.78,3.2,-51.7,-21.3,1.31,0.51,15.34000015258789,3.8704794341205204,4.9112130524588995,14.573805324962947,38.216475975771,9.976329244633616,48.39802157098277,6.9961495370516635,19.321551613219903,,,,5,False,12.5,,,n/d,n/d,,,,False,False,,,Em Baixa,17.149999618530273,-10.553932980772263,-53.013597787529065,False,False,False,sem sinal (Em Baixa; sem novo topo (-10.6%))
UNIP6,SMALL11,SMALL11,Materiais,40.14,43.69,20.0,,,1.0,,54.14,9.63,35.64,97.92,104,Não,4,8,False,,True,,False,False,True,False,False,False,2,10,False,True,True,False,False,False,True,True,False,True,True,1.25,True,6344603136.0,24.91,3.32,11.04,17.12,13.34,34.18,11.66,5.09,8.94,2.72,2.39,1.85,,426.41,-46.1,10.74,4.48,0.47,74.89,24.93,51.73,71.62,9.9,-20.6,-7.0,0.74,0.42,56.84000015258789,69.49864814582075,101.19003170031502,23.730871199795825,29.647591894363728,,30.036623802606314,6.095704552694808,21.64439743520087,,,,5,False,16.6,,,n/d,n/d,,,,False,False,,,Em Baixa,63.689998626708984,-10.755218435895031,-21.81243736508679,False,False,False,sem sinal (Em Baixa; sem novo topo (-10.8%))
EMBJ3,BOVA11,BOVA11,Bens Industriais,39.72,34.96,66.66666666666667,,,0.7,,46.99,11.18,50.59,9.03,105,Rompimento,4,8,False,,False,,False,,True,True,True,False,6,9,False,False,False,False,True,True,True,True,False,False,True,0.14,True,72101576704.0,31.93,4.15,0.98,0.72,13.01,5.09,9.61,5.28,12.13,0.52,1.44,0.69,3.18,22.86,113.9,17.3,3.7,0.82,70.5,26.66,68.4,103.57,48.1,-2.2,25.9,0.83,0.37,101.29000091552734,5.180098524669912,9.609082763262686,42.03233674070583,41.738258693980825,34.1072263378455,17.898820536198578,28.485622078015687,41.814845570773066,,,,6,False,8.1,,,n/d,n/d,,,Rompimento,False,False,,,Em Alta,100.44000244140625,0.8462748441458556,-3.633047256023947,False,True,False,"Rompimento (vol x0.9, +0.8% do topo, MM50>MM200)"
