ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,desvio_padrao,momentum_12_1,var_95,sharpe,beta,corr_ibov,corr_usd,close,div_ge5_5a,divo_qualidade_ok,auvp_ok,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
RIAA3,SMALL11,SMALL11,Consumo discricionário,70.1,70.12,70.0,,,0.9,,65.01,95.35,38.55,93.15,False,11,Não,,,False,4,8,False,,False,,False,False,True,True,True,True,7,10,True,True,False,False,False,True,True,False,True,False,True,0.47,True,3624894976.0,2.41,0.68,44.05,13.17,28.35,8.06,8.96,14.35,2.66,2.11,3.3,1.61,0.68,0.16,31.74,16.6,5.41,4.35,1.05,64.01,35.99,6.26,10.43,15.4,-30.8,-14.1,8.27,8.21,-37.2,45.0,-14.0,6.55,10.43,-29.37,2.84,16.2,-4.19,0.09,1.57,0.6,0.07,7.21999979019165,False,False,False,6.792113541299099,12.599370619109829,39.695019593377324,26.752567367863403,84.3940192660009,51.88018214566937,36.249791477725715,30.370235761598085,,,,5,False,12.4,,,n/d,n/d,,,,False,False,,,Em Baixa,7.380000114440918,-2.168026040218951,-33.35464124109166,False,False,False,sem sinal (Em Baixa; sem novo topo (-2.2%))
ABCB10,SMALL11,SMALL11,Produtos financeiros,70.08,73.62,50.0,,,0.4,,74.67,71.71,,,False,12,Não,,,False,1,3,False,,,,,,True,,False,,1,2,True,False,,,False,,,,True,True,True,,True,,,0.91,,,14.9,,,40.92,,,,,,,,-2.9,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,0,True,,,,n/d,n/d,,,,False,False,,,,,,,False,False,False,histórico insuficiente
VTRU3,SMALL11,SMALL11,Consumo discricionário,69.43,72.86,50.0,,,0.9,P/L=1.99<2,85.57,90.43,54.94,7.53,False,13,Fundo duplo,,,False,7,8,False,,True,,,,True,True,False,True,4,8,True,True,True,True,False,True,True,True,True,False,True,0.37,True,2194848768.0,1.99,0.54,0.17,0.21,27.23,9.79,15.07,46.56,3.03,2.1,1.95,2.56,0.56,,0.41,-23.9,4.36,6.37,0.37,51.99,48.01,10.28,16.86,43.0,-12.8,10.4,13.44,13.35,-28.8,38.9,5.0,12.0,16.86,-10.37,2.45,22.8,-3.52,0.74,1.17,0.52,0.07,14.699999809265137,,False,False,0.21642912203111486,0.3151208016773033,76.82411960620976,67.26438411243369,,0.4136666666666666,19.733668085661026,36.442949191332524,,,,2,False,355.0,,,n/d,n/d,,,Fundo duplo,False,False,,,Em Alta,14.729999542236328,-0.2036641812864337,-15.26352706111982,False,True,False,Fundo duplo — rompeu pescoço ~R$13.59 (candidato)
PETR3,BOVA11+DIVO11+AUVP11,BOVA11,Energia,69.3,72.7,50.0,,,0.9,DY5a=38.9%>=20,85.49,78.9,36.19,,False,14,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$52.37, preço 0.9% abaixo do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,True,False,True,True,True,False,5,10,True,True,True,True,True,True,True,False,True,True,True,0.65,True,668925231104.0,5.08,1.41,6.93,38.85,27.73,30.77,19.69,24.32,3.07,1.29,0.92,0.85,0.76,0.34,197.37,96.8,3.51,10.07,0.28,65.87,33.99,28.69,53.54,80.9,-3.1,12.2,41.12,39.71,-22.9,29.3,69.8,29.47,53.54,54.43,1.85,44.4,-2.83,1.46,0.4,0.24,-0.06,51.900001525878906,True,True,True,144.03099010362334,267.17748664222125,135.36909846808965,91.98504331661262,306.49607200322185,55.48704,123.62008237463283,56.55712364088774,147.59036706866115,129.49459042136124,116.54513137922511,8,True,5.5,124.5570866141732,184.37449466175474,2026-11-10,2026-08-24,última,,,False,False,,,Em Alta,53.540000915527344,-3.0631291774461222,-4.840482848061045,True,False,False,sem sinal (Em Alta)
CXSE3,BOVA11+DIVO11+Wishlist+Carteira,BOVA11,Insurance,68.99,65.72,87.5,,1.6,0.3,,64.06,34.42,100.0,82.88,False,15,Não,,,False,4,6,False,,True,,True,True,True,,True,True,7,8,True,False,False,,True,,True,True,True,True,True,,True,59639996416.0,13.11,4.3,6.84,9.62,32.79,28.44,-1.21,75.43,,,,,,1.02,126.11,12.8,11.57,20.76,,8.23,91.77,12.84,22.04,54.8,-9.8,5.6,17.15,16.84,-18.8,22.1,27.3,15.42,22.04,11.93,1.39,49.9,-2.09,1.45,0.67,0.53,0.06,19.8799991607666,True,True,False,13.659854220984275,25.339029579925832,20.09229510908905,12.559491234107982,33.99709750965617,22.898448930232796,16.251471472602272,,20.497406960057987,21.495372019660923,19.345834817694833,4,True,1.9,-2.6869434890417265,3.1056731657707726,2026-11-09,2026-11-04,próxima,"A Caixa Seguridade (CXSE3) apresenta-se como um caso de estudo interessante no setor de seguros, onde a sua elevada eficiência operacional, traduzida em uma robusta margem líquida de 75,43%, contrasta com indicadores de retorno que operam ligeiramente abaixo de seus pares. O ROE da companhia atinge 32,8% e o ROIC situa-se em patamar negativo de -1,2%, ambos abaixo da média setorial de 34,3% e 19,5%, respectivamente, o que sugere que, embora a empresa seja altamente lucrativa em suas operações, a eficiência na alocação de capital e o retorno sobre o patrimônio ainda enfrentam forte concorrência dos pares. Essa qualidade operacional intermediária convive com múltiplos de preço esticados, visto que o P/L de 13,11 e o P/VP de 4,3 revelam que o mercado cobra um prêmio considerável pelo papel, desalinhando a relação clássica de barganha onde retornos menores deveriam se traduzir em múltiplos mais descontados. No que tange ao crescimento, a empresa demonstra forte resiliência e expansão de mercado com um CAGR de receita de cinco anos de 12,8%, posicionando-se muito acima da média do setor, que encolheu 2,5% no mesmo período. Essa expansão dá suporte a um dividend yield de 6,84%, que se mostra sustentável e coerente com a geração de caixa da seguradora, especialmente pela ausência de pressões de endividamento financeiro pesado típicas de outros setores. No checklist de critérios fundamentalistas, a CXSE3 atende a 4 de 6 requisitos possíveis, confirmando sua solidez ao registrar valor de mercado robusto, ausência de venda de ações por controladores e crescimento superior aos pares, falhando apenas em superar as médias setoriais de rentabilidade. Sob a ótica do valuation, as estimativas de preço-teto revelam uma dispersão acentuada entre os métodos analíticos, variando desde os conservadores R$ 12,49 de Graham e R$ 13,59 de Bazin até os otimistas R$ 25,20 de Gordon e R$ 33,81 de Lynch. Essa disparidade resulta em uma média de R$ 20,42 e uma mediana de R$ 21,44, mas, quando aplicado o preço-teto ajustado com margem de segurança de R$ 19,30, o papel passa a apresentar um upside negativo de -2,4% em relação à cotação atual de R$ 19,77. Em balanço, os principais prós da companhia residem em seu crescimento histórico de receita muito acima do setor, margem líquida excepcional e distribuição consistente de proventos, enquanto os contras concentram-se no ROIC negativo, múltiplos de avaliação pressionados frente aos pares e a escassa margem de segurança nos preços atuais.",,True,True,19.51,1.9,Lateral,19.790000915527344,0.4547662510143935,-10.218192169033491,True,False,False,sem sinal (Lateral)
PLPL3,SMALL11,SMALL11,Consumo discricionário,68.6,71.88,50.0,,,0.9,,77.33,83.03,52.17,58.9,False,16,Não,,,False,5,8,False,,True,,False,False,True,False,False,True,5,10,True,True,True,False,False,True,True,False,True,True,True,0.52,True,1474141440.0,4.8,1.31,6.86,6.32,27.32,38.02,24.26,8.62,1.99,1.22,0.7,3.0,1.2,0.32,30.34,-37.3,3.41,7.78,1.2,73.04,24.14,6.46,17.36,12.4,-58.2,-16.1,13.75,12.28,-62.8,50.1,-44.4,6.46,16.13,-59.77,3.16,-51.3,-5.61,-1.4,1.5,0.52,0.08,7.260000228881836,False,False,False,3.2779435220695405,6.080585233438998,20.04062563180923,13.73319627147084,32.2481693212919,10.95072400487419,18.30125057697296,30.10958336978864,,,,6,False,9.8,,,n/d,2025-12-30,última,,,False,False,,,Lateral,7.610000133514404,-4.599210229854933,-58.22937102018282,True,False,False,sem sinal (Lateral)
BRSR6,SMALL11+DIVO11,SMALL11,Produtos financeiros,68.37,69.41,62.5,17.35,,0.4,,44.79,90.5,90.71,84.93,False,17,Fundo duplo,,,False,2,6,False,,True,,False,False,True,,False,True,5,8,False,False,False,,False,,True,True,True,False,True,,True,6101899264.0,4.0,0.53,10.58,10.16,13.26,9.63,0.0,22.38,,,,,,0.51,40.66,-29.2,4.58,1.0,,93.0,6.99,10.16,18.55,46.8,-19.5,4.1,14.19,14.41,-29.2,29.2,0.7,13.13,18.55,-14.67,1.84,35.3,-2.79,0.99,1.09,0.65,0.01,14.920000076293945,False,False,False,10.832887636642084,20.095006565971065,49.42250025272369,48.60625421373725,67.26473437249936,33.8080892556754,28.41276599876904,,28.53962092775306,26.95154791082323,24.256393119740906,4,True,4.6,62.57636056102538,91.28432159393233,n/d,n/d,,,Fundo duplo,False,False,,,Em Alta,15.0,-0.5333328247070335,-19.888191398260858,False,True,False,Fundo duplo — rompeu pescoço ~R$14.49 (candidato)
VLID3,SMALL11+DIVO11,SMALL11,Bens Industriais,67.88,67.51,70.0,,,0.7,,61.18,76.52,66.26,76.03,False,18,Não,Fundo duplo,"Fundo duplo (pré-confirmação) — pescoço R$18.46, preço 1.9% abaixo do pescoço; falta fechar acima e segurar",False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,False,True,False,False,True,True,True,True,True,True,0.1,True,1416257792.0,6.29,0.83,10.73,8.58,13.18,13.73,15.68,11.15,3.27,0.48,0.43,2.3,0.41,1.04,53.98,-32.9,10.41,7.18,1.13,45.32,54.23,16.3,22.63,11.1,-20.0,2.7,19.44,19.22,-27.9,31.8,-12.1,16.3,22.63,-27.47,2.0,-10.8,-3.08,-0.42,0.93,0.51,0.07,18.110000610351562,False,False,False,11.101504472314577,20.59329079614354,38.14904739064518,37.59632152930284,42.17224014114105,33.98464530282941,18.668254691465275,33.19158668914341,32.0507695058101,33.98464530282941,30.586180772546474,7,True,3.8,68.89110845785176,76.97829058873738,2026-11-04,2026-08-13,última,,,False,False,,,Lateral,18.0,0.611114501953125,-20.680939673531817,True,False,False,sem sinal (Lateral)
TGMA3,SMALL11+DIVO11,SMALL11,Bens Industriais,67.08,66.57,70.0,,,0.7,,78.21,35.81,69.98,84.25,False,19,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$34.23, preço 1.5% abaixo do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,False,False,True,True,True,True,7,10,True,True,True,False,True,True,True,True,True,True,True,0.03,True,2223421696.0,8.91,2.28,10.59,10.06,25.55,24.91,27.01,10.14,6.15,0.07,0.04,2.22,0.23,3.38,89.68,23.5,6.64,14.79,1.33,34.75,65.25,26.65,39.14,26.5,-13.8,8.9,33.05,32.87,-31.9,31.2,-4.2,26.65,39.14,-19.57,1.96,1.4,-2.58,-0.23,0.9,0.5,0.15,33.720001220703125,False,False,False,24.241897565885985,30.65629435751857,34.18494516722964,35.48726790954142,48.071535674095024,48.59935940460783,16.383832248449462,30.6398578780703,33.53312377567478,32.4206197623741,29.178557786136693,8,True,3.0,-13.468099852197257,-0.5542035535681,n/d,2026-08-07,última,,,False,False,,,Em Alta,35.38999938964844,-4.718842039408977,-14.710863492499982,True,False,False,sem sinal (Em Alta)
GRND3,SMALL11+DIVO11,SMALL11,Consumo discricionário,65.96,63.48,80.0,,,0.9,DY5a=20.2%>=20,61.95,62.83,67.72,,False,20,Não,,,False,5,8,False,,True,,True,False,True,True,False,True,8,10,True,True,False,True,False,True,True,False,True,True,True,-0.31,True,3337991936.0,5.75,1.04,40.33,20.24,18.04,16.72,7.81,24.95,8.84,-3.59,-6.43,2.05,0.02,0.38,116.39,-24.5,4.93,2.66,2.01,29.93,70.07,3.37,4.83,9.9,-23.5,-2.8,3.89,4.01,-30.3,28.0,-14.0,3.37,4.83,-29.37,1.76,-10.2,-2.47,-0.54,0.75,0.46,0.04,3.700000047683716,True,True,False,5.349692455207376,9.92367950440968,8.526087066401605,7.176990919045623,19.304348074871562,6.059476722895763,7.786087056864864,2.3808949827127974,,,,6,False,8.1,,,2026-11-05,2026-04-24,última,,,False,False,,,Lateral,3.690000057220459,0.27100244737636725,-24.21547826164633,True,False,False,sem sinal (Lateral)
