ticker,origem,grupo,setor,investment,investment_base,consistencia,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VALE3,BOVA11,BOVA11,Basic Materials,47.79,50.34,33.333333333333336,50.86,36.07,47.89,88.59,87,Não,3,7,False,,True,,False,False,True,False,False,2,6,True,False,True,False,False,,True,False,True,,True,320841940992.0,32.82,1.73,7.31,12.72,5.27,18.11,4.76,,1.19,0.55,,75.38999938964844,68.52,99.76,23.89,47.46,,59.91,57.99,52.19,4.0,-30.78,-20.54,n/d,n/d,,,,Em Baixa,76.66000366210938,-1.6566712911450843,-17.714475955458397,False,False,False,sem sinal (Em Baixa; sem novo topo (-1.7%))
GGPS3,SMALL11,SMALL11,Industrials,47.54,47.11,50.0,55.71,34.45,57.74,18.79,88,Não,3,7,False,,True,,False,True,False,False,True,3,6,True,True,False,False,False,,True,False,True,,True,8727265280.0,13.3,2.13,2.5,2.31,16.03,11.82,3.74,,3.24,1.51,1.2,11.600000381469727,1.91,3.55,11.56,10.34,11.7,11.2,11.56,10.4,3.0,-10.34,-3.46,n/d,n/d,,,,Em Baixa,12.539999961853027,-7.496009435748019,-40.96691803224905,False,False,False,sem sinal (Em Baixa; sem novo topo (-7.5%))
RANI3,SMALL11,SMALL11,Consumer Cyclical,47.34,52.76,16.666666666666668,54.15,42.22,52.61,73.15,89,Não,3,7,False,,True,,False,False,False,False,False,1,6,False,True,True,False,False,,True,False,True,,True,1910436736.0,14.94,1.35,5.75,8.89,9.03,11.69,12.12,,2.19,1.29,,8.3100004196167,5.28,7.68,5.78,8.78,,6.88,6.73,6.06,4.0,-27.08,-17.21,n/d,n/d,,,,Em Alta,8.420000076293945,-1.3064092123578952,-14.716579911037176,False,False,False,sem sinal (Em Alta; sem novo topo (-1.3%))
ANIM3,SMALL11,SMALL11,Consumer Defensive,46.02,51.2,16.666666666666668,45.06,69.84,37.13,60.4,90,Não,4,7,False,,False,,False,False,False,True,False,1,6,True,False,True,False,False,,True,True,True,,True,812399424.0,6.47,0.36,3.62,6.41,5.62,14.19,3.27,,1.9,2.02,1.97,2.1500000953674316,0.98,1.33,3.2,6.68,3.22,3.61,3.21,2.89,4.0,34.54,67.9,n/d,n/d,,,,Em Baixa,2.2699999809265137,-5.286338615302688,-59.345627089043674,False,False,False,sem sinal (Em Baixa; sem novo topo (-5.3%))
BRBI11,SMALL11,SMALL11,Financial Services,45.94,43.46,60.0,36.26,39.16,,86.58,91,Não,3,5,False,,True,,False,True,,False,True,3,5,True,True,False,,False,,,True,True,,True,,8.91,1.91,10.83,11.45,21.38,3.78,0.0,,,,,14.119999885559082,11.54,16.81,16.48,16.24,,14.94,16.48,14.83,3.0,5.05,5.83,n/d,n/d,,,,Em Baixa,14.739999771118164,-4.206240808591611,-34.31312974181119,False,False,False,sem sinal (Em Baixa; sem novo topo (-4.2%))
UNIP6,SMALL11,SMALL11,Basic Materials,45.88,48.1,33.333333333333336,60.35,11.72,42.74,94.63,92,Não,5,7,False,,True,,False,True,False,False,False,2,6,True,True,True,False,False,,True,True,True,,True,6889319424.0,19.18,3.84,16.03,17.1,20.01,10.3,7.48,,2.09,1.91,,61.720001220703125,75.37,109.74,33.47,34.11,,63.17,54.74,49.27,4.0,-20.17,2.36,n/d,n/d,,,,Em Alta,63.689998626708984,-3.0931032320351215,-15.099640247785395,False,False,False,sem sinal (Em Alta; sem novo topo (-3.1%))
BRAP4,BOVA11+SMALL11,BOVA11,Financial Services,44.65,41.95,60.0,19.12,60.62,,97.99,93,Não,3,6,False,,True,,False,True,,True,False,3,5,False,False,False,,True,,True,True,True,,True,8514472448.0,11.06,1.11,10.71,24.08,10.0,-0.47,0.0,,,,0.15,21.65999984741211,37.26,69.11,25.95,29.32,58.75,44.11,37.26,33.53,3.0,54.81,103.63,n/d,n/d,,,,Em Baixa,22.0,-1.5454552390358645,-15.489658382164961,False,False,False,sem sinal (Em Baixa; sem novo topo (-1.5%))
RADL3,BOVA11,BOVA11,Healthcare,44.45,40.53,66.66666666666667,61.74,17.28,34.77,14.77,94,Não,4,7,False,,True,,False,True,False,True,True,4,6,True,True,True,False,False,,True,False,True,,True,35180548096.0,26.83,4.94,2.14,1.44,18.41,16.71,2.93,,1.41,1.18,2.38,20.1200008392334,2.07,3.85,9.94,8.29,9.54,7.9,8.92,8.03,4.0,-60.11,-60.72,n/d,n/d,,,,Em Alta,20.549999237060547,-2.0924497021473143,-25.830829389993294,False,False,False,sem sinal (Em Alta; sem novo topo (-2.1%))
VBBR3,BOVA11,BOVA11,Consumer Cyclical,44.33,40.39,66.66666666666667,44.11,21.29,47.88,56.38,95,Não,3,7,False,,True,,False,True,False,True,True,4,6,False,True,False,False,True,,True,False,True,,True,41813925888.0,13.99,1.94,4.3,6.07,13.83,9.9,1.56,,1.77,1.1,6.69,35.04999923706055,15.19,18.23,21.47,31.91,20.44,21.45,20.44,18.39,5.0,-47.52,-38.8,n/d,n/d,,,,Em Alta,36.130001068115234,-2.98921062586901,-4.313409186411432,False,False,False,sem sinal (Em Alta; sem novo topo (-3.0%))
BBAS3,BOVA11,BOVA11,Financial Services,43.83,48.03,20.0,39.79,53.61,,71.14,96,Não,2,6,False,,True,,False,False,,False,False,1,5,False,False,False,,False,,True,True,True,,True,115775954944.0,8.39,0.65,2.61,8.34,7.71,0.0,20.42,,,,3.63,20.280000686645508,12.08,14.81,21.16,41.19,25.76,16.02,14.81,13.33,3.0,-34.27,-21.01,n/d,n/d,,,,Em Alta,21.350000381469727,-5.011708082932409,-26.368295516391004,False,False,False,sem sinal (Em Alta; sem novo topo (-5.0%))
