ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,beta,corr_ibov,corr_usd,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
MULT3,BOVA11+SMALL11,BOVA11,Imobiliário,63.07,61.85,70.0,,,0.8,,86.46,40.6,43.74,40.43,False,27,Não,,,False,7,8,False,,True,,False,False,True,True,True,True,7,10,True,True,True,True,True,True,True,False,True,True,True,0.74,True,13710020608.0,10.34,2.12,4.02,3.71,20.52,17.07,18.7,43.42,7.65,2.13,1.59,1.64,0.75,0.82,38.36,62.0,10.55,10.89,0.29,52.11,47.88,25.88,35.12,5.8,-22.0,-6.8,28.57,29.13,-25.0,27.1,3.2,26.35,35.12,-7.31,1.27,0.8,0.06,27.3799991607666,7.255085089269031,13.458182840594052,35.08558886655294,27.739363375563915,43.31704745774301,26.428449958762776,28.127177866051937,24.00811791962647,28.309132612127872,27.739363375563915,24.965427038007522,7,True,6.0,-8.818744327132677,3.3934750907247846,2026-10-29,2026-07-01,última,,,False,False,,,Em Baixa,28.030000686645508,-2.3189493755117585,-22.388251104008127,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.3%))
VIVA3,BOVA11+SMALL11,BOVA11,Consumo discricionário,62.24,62.64,60.0,,,0.9,,76.54,53.16,66.01,17.02,False,28,Não,Fundo duplo,"Fundo duplo (pré-confirmação) — pescoço R$23.54, preço 5.4% abaixo do pescoço; falta fechar acima e segurar",False,6,8,False,,True,,False,False,True,True,True,True,6,10,True,True,True,True,False,True,True,False,True,True,True,0.28,True,5238809088.0,8.98,1.65,3.13,1.97,18.4,21.98,17.32,18.56,5.93,1.1,0.89,4.19,0.4,0.6,17.72,0.4,6.98,10.38,1.73,37.54,62.46,20.42,35.35,9.1,-37.0,-3.0,27.47,26.92,-42.2,37.9,-30.9,20.42,32.35,-41.41,1.13,0.51,0.04,22.280000686645508,3.1403723254474754,5.8253906637050665,32.874165823836634,27.455307899641717,42.11194018440393,10.853405399094557,30.020936337239494,14.965619836256653,,,,6,False,13.4,,,n/d,2025-12-22,última,,,False,False,,,Lateral,22.700000762939453,-1.8502205382285641,-37.92401359949598,True,False,False,sem sinal (Lateral)
BBSE3,BOVA11,BOVA11,Insurance,62.05,59.77,75.0,,1.3,0.3,,67.92,31.14,61.0,92.2,False,29,Não,,,False,5,6,False,,True,,True,False,True,,False,True,6,8,True,True,False,,True,,True,True,True,True,True,,True,78426439680.0,8.54,7.2,11.52,12.82,84.38,83.67,0.0,87.93,,,,,,,109.45,-0.1,9.17,28.81,,55.04,44.96,28.18,40.52,42.0,-1.2,11.5,32.71,32.88,-9.8,18.5,26.4,30.7,40.52,15.89,0.55,0.51,0.06,40.02000045776367,36.63430051030803,53.339541543008494,48.73630032327193,24.20879454966297,,59.50416498381771,12.51880241820309,,49.55357684010154,51.037920933140214,45.934128839826194,4,True,1.6,14.777931820126234,23.82202966838898,2026-11-03,2026-08-07,última,,,False,False,,,Em Alta,39.45000076293945,1.4448661186331258,-1.8291976216009642,True,False,False,sem sinal (Em Alta)
TOTS3,BOVA11+SMALL11,BOVA11,Tecnologia de informação,60.68,57.27,80.0,,,0.5,,86.25,28.3,49.84,14.18,False,35,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$32.86, preço 4.7% acima do pescoço; falta fechar acima e segurar",False,6,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,True,True,False,True,False,True,True,True,0.55,True,20213784576.0,14.41,3.76,1.98,1.39,26.12,14.98,23.37,21.63,8.19,2.09,1.25,1.84,0.92,0.96,20.02,269.5,16.74,7.39,1.0,42.41,54.01,27.05,47.43,27.2,-27.4,10.7,37.05,37.31,-43.0,38.2,-15.1,27.05,46.82,-25.61,0.97,0.43,-0.03,34.40999984741211,3.41412471707062,6.333201350166,31.640006799320634,22.174305003768986,39.13586007981751,10.59424454785779,28.893893001643757,24.151119147944165,,,,6,False,11.5,,,2026-11-04,2026-06-16,última,,,False,False,,,Em Alta,34.689998626708984,-0.8071455473661948,-27.837081273163555,True,False,False,sem sinal (Em Alta)
ITSA4,BOVA11+Wishlist,BOVA11,Financial Services,60.43,59.33,66.66666666666667,,,0.4,,60.83,48.0,,80.85,False,36,Não,,,False,5,6,False,,True,,False,False,True,,True,True,6,9,True,True,True,,True,,True,False,True,True,True,,True,146816286720.0,8.09,1.57,8.42,9.4,19.36,17.48,0.38,214.29,,,,,,1.74,76.04,28.4,6.89,0.38,0.64,16.02,79.82,9.8,14.81,32.1,-12.6,-2.5,12.78,12.29,-17.7,24.0,13.9,11.37,14.81,3.39,1.23,0.88,0.07,12.949999809265137,8.694392891896392,13.60549918038555,17.89239278670407,17.23601780571541,22.470996466733876,17.300649679066694,8.943457258031069,,14.373233634513177,15.453074429726122,13.90776698675351,4,True,2.1,7.395885649381517,10.99022275065813,n/d,2026-09-01,próxima,,,True,False,,,Em Baixa,13.210000038146973,-1.9682076315747477,-13.955200413732506,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.0%))
CMIN3,BOVA11+Wishlist,BOVA11,Materiais,60.29,65.64,30.0,,,1.0,,82.86,47.05,34.0,97.87,False,37,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$6.01, preço 1.4% abaixo do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,False,False,True,False,True,False,3,10,True,True,True,False,True,True,True,True,True,True,True,0.16,True,31862341632.0,13.78,4.38,18.4,16.61,31.79,32.01,20.33,13.41,5.36,0.2,0.14,1.17,1.24,0.15,228.82,90.7,14.73,8.29,0.53,80.09,19.91,4.08,6.24,45.1,-5.1,18.9,5.18,5.12,-34.6,38.7,16.7,4.08,6.24,6.19,1.07,0.47,-0.07,5.920000076293945,7.021620245364706,13.025105555151528,5.6923077656672545,3.6145256194623725,12.888243997737183,6.133333333333334,5.198258412420664,5.41527423888321,7.3735836460025315,5.912820549500294,5.321538494550265,8,True,3.6,-10.10914820998331,24.55377619891117,n/d,2026-04-17,última,,,True,False,,,Em Alta,6.010000228881836,-1.4975066416034966,-7.106134319435142,True,False,False,sem sinal (Em Alta)
ITUB4,BOVA11,BOVA11,Produtos financeiros,60.21,57.6,75.0,15.95,,0.4,,58.69,40.95,70.71,68.09,False,38,Não,,,False,4,6,False,,True,,False,False,True,,True,True,6,8,True,True,False,,True,,True,False,True,True,True,,True,435584401408.0,9.35,2.1,7.83,7.16,22.45,19.06,0.0,32.58,,,,,,1.26,66.95,8.1,7.75,1.58,,92.99,6.67,33.37,48.38,18.4,-18.4,-4.2,39.44,39.75,-22.5,23.7,3.0,37.49,48.38,-7.51,1.18,0.85,0.05,39.5018196105957,20.20396550318609,37.478356008410195,55.978514421432415,42.28563995842689,61.597478380970486,45.58224653808353,30.989152212605074,,39.810770617778054,41.53030127324686,37.37727114592218,4,True,2.8,-5.378355948199531,0.7821184194246156,n/d,2026-09-01,próxima,,,False,False,,,Em Baixa,40.40140151977539,-2.2266106504730154,-18.8484510008869,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.2%))
BBDC3,BOVA11,BOVA11,Produtos financeiros,60.02,59.58,62.5,15.65,,0.4,,49.0,66.92,66.43,75.18,False,39,Não,,,False,3,6,False,,True,,False,False,True,,True,True,5,8,True,False,False,,True,,True,False,True,True,True,,True,160637812736.0,6.49,0.92,9.32,8.7,14.13,11.35,0.0,26.07,,,,,,1.06,56.48,17.8,,1.07,,92.32,7.66,12.88,17.96,17.7,-15.5,-2.6,15.24,15.39,-22.4,23.6,1.4,13.93,17.96,-9.11,1.15,0.84,-0.04,15.170000076293945,9.430280365724084,17.493170078418174,30.9711095548374,29.4483238128629,34.71574760828589,25.47771500997475,15.278816191950364,,20.8430687522386,21.485442544196463,19.336898289776816,4,True,3.3,27.46801708982489,37.39662918532163,2026-11-04,2026-09-02,próxima,,,False,False,,,Em Baixa,15.069999694824219,0.6635725513920887,-16.603456383736958,True,False,False,sem sinal (Em Baixa; sem novo topo (+0.7%))
ISAE4,BOVA11,BOVA11,Serviços públicos,59.56,59.48,60.0,,,0.1,,61.05,48.96,60.54,76.6,True,41,Não,,,False,5,8,False,,True,,False,False,True,True,True,True,6,10,False,True,False,True,True,False,True,True,True,True,True,0.67,True,18791563264.0,6.65,0.85,6.51,8.95,12.71,14.91,9.63,26.39,7.45,3.41,4.96,5.28,0.79,1.29,59.53,220.0,8.97,6.2,0.28,54.58,44.81,21.23,31.63,25.7,-15.6,-4.8,26.84,26.51,-19.9,24.7,2.5,25.09,31.63,-8.01,0.98,0.68,0.06,26.700000762939453,17.073310757888894,28.376570591100656,47.66545641359029,53.26994486941398,56.59469223702227,42.94865306860028,23.70643966565593,31.192887272610456,37.603494359485346,37.07077017060537,33.36369315354484,8,True,3.3,24.95764868986381,40.83705350181237,n/d,2026-04-20,última,,,False,False,,,Lateral,26.75,-0.18691303574036588,-16.675515750563154,True,False,False,sem sinal (Lateral)
ABEV3,BOVA11,BOVA11,Bens de primeira necessidade,59.53,59.45,60.0,,,0.0,,79.4,20.43,66.09,53.9,True,42,Não,,,False,7,8,False,,True,,False,False,True,True,True,True,6,10,True,True,True,True,True,True,True,False,True,True,True,-0.17,True,231762575360.0,14.32,2.64,5.25,5.43,18.4,17.07,20.62,18.41,8.09,-0.57,-0.39,1.02,0.03,3.5,77.78,24.6,13.54,10.3,0.81,38.81,60.59,11.06,16.9,35.8,-11.1,-4.6,14.9,14.36,-13.6,25.4,10.4,13.6,16.9,-0.11,0.67,0.45,0.03,15.029999732971191,5.8309327295685245,8.573470617782714,11.023171187489528,11.595160366345793,9.992440005155867,14.939366382410316,5.501588175478861,10.901660100846893,9.794723695634811,10.44705005300138,9.402345047701242,8,True,2.7,-37.442812942468706,-34.832176515956924,2026-10-29,2026-09-22,próxima,,,False,False,,,Em Baixa,15.3100004196167,-1.8288744544170177,-11.55017741454689,True,False,False,sem sinal (Em Baixa; sem novo topo (-1.8%))
