ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,roe_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,market_cap,pl,pvp,dy,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
SEER3,SMALL11,Consumer Defensive,60.29,69.06,70.46,40.55,45.83,32,Não,5,7,False,True,True,True,False,True,,True,False,1585141120.0,6.44,1.12,3.87,17.4,16.63,10.92,,1.56,1.16,0.09,12.380000114440918,7.99,6.16,24.7,21.87,57.67,23.68,21.87,76.62,91.24,n/d,2026-04-07,última,,,Em Alta,12.350000381469727,0.24291281007735588,-12.384996361121702,True,False,False,sem sinal (Em Alta; sem novo topo (+0.2%))
BBDC3,BOVA11,Financial Services,59.98,51.05,59.85,,81.06,33,Não,1,6,False,False,False,False,,False,,True,False,181221965824.0,7.11,0.97,8.87,13.7,0.0,25.36,,,,,15.970000267028809,23.61,14.37,22.79,28.85,,22.4,23.2,45.27,40.29,2026-08-05,2026-09-02,próxima,,,Em Alta,16.502357482910156,-3.2259464530001614,-12.198834369502276,True,False,False,sem sinal (Em Alta; sem novo topo (-3.2%))
PSSA3,BOVA11,Financial Services,59.64,78.31,38.89,,57.58,34,Não,5,6,False,True,True,True,,True,,True,False,34555895808.0,9.53,2.26,5.55,23.7,77.55,8.31,,,,0.26,53.90999984741211,49.87,38.44,72.68,55.1,169.71,77.16,55.1,2.21,43.13,2026-08-07,2026-06-23,última,,,Em Alta,55.45000076293945,-2.7772784388429006,-2.952294171327907,True,False,False,sem sinal (Em Alta; sem novo topo (-2.8%))
B3SA3,BOVA11,Financial Services,59.49,91.86,25.34,,52.27,35,Pivô de alta,5,6,False,True,True,True,,True,,True,False,79722864640.0,15.99,4.34,4.93,27.15,21.56,46.96,,,,0.41,15.949999809265137,13.11,10.1,12.82,9.08,29.92,15.01,12.82,-19.65,-5.92,2026-08-11,2026-06-25,última,,Pivô de alta,Em Alta,16.0,-0.3125011920928955,-20.372742171729552,True,True,True,Pivô de alta
MULT3,BOVA11,Real Estate,58.77,87.29,36.15,53.36,44.7,36,Não,5,7,False,True,False,True,True,True,,True,False,14269813760.0,10.76,2.21,3.86,20.52,18.7,43.42,,1.64,0.75,0.17,29.059999465942383,18.7,14.41,34.7,28.27,81.02,35.42,28.27,-2.73,21.88,2026-10-29,2026-07-01,última,,,Em Baixa,29.739999771118164,-2.2864838951214828,-17.626097494546812,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.3%))
GMAT3,SMALL11,Consumer Cyclical,58.73,54.62,72.33,61.72,37.12,37,Não,3,7,False,True,True,False,False,False,,True,False,9073769472.0,5.26,0.83,3.02,15.83,10.88,4.49,,1.71,0.56,,3.940000057220459,1.98,1.21,7.6,8.94,,4.93,4.79,21.61,25.22,n/d,2025-11-21,última,,,Lateral,3.9800000190734863,-1.0050241623450806,-48.05408968679825,True,False,False,sem sinal (Lateral; sem novo topo (-1.0%))
COGN3,BOVA11,Consumer Defensive,58.72,44.99,75.05,60.83,55.3,38,Não,2,7,False,False,False,False,False,True,,True,False,4622839296.0,6.94,0.34,5.25,4.94,10.12,8.92,,1.65,0.49,0.13,2.309999942779541,2.02,1.56,4.28,7.13,9.99,4.99,4.28,85.14,116.23,2026-08-12,2026-04-28,última,,,Lateral,2.3299999237060547,-0.8583683082144522,-51.12913944915528,True,False,False,sem sinal (Lateral; sem novo topo (-0.9%))
PGMN3,SMALL11,Healthcare,58.67,45.88,75.92,50.02,65.53,39,Não,2,7,False,False,False,False,False,True,,True,False,2599732992.0,7.8,0.75,6.66,9.61,12.78,2.0,,1.73,1.07,0.01,3.609999895095825,4.01,3.09,5.95,7.08,13.88,6.8,5.95,64.72,88.41,n/d,2025-12-26,última,,,Em Baixa,3.630000114440918,-0.5509702125222393,-52.624672581199675,True,False,False,sem sinal (Em Baixa; sem novo topo (-0.6%))
CMIN3,BOVA11,Basic Materials,58.44,82.01,30.24,31.75,95.45,40,Não,5,7,False,True,True,True,False,False,,True,True,31496198144.0,14.4,4.53,18.43,31.49,21.67,12.51,,1.37,1.31,,5.829999923706055,17.91,10.9,4.11,3.42,,9.09,7.5,28.73,55.84,n/d,2026-04-17,última,,,Em Alta,5.980000019073486,-2.508362790785945,-8.518374518419003,True,False,False,sem sinal (Em Alta; sem novo topo (-2.5%))
ABCB4,SMALL11,Financial Services,58.31,54.95,48.95,,84.85,41,Não,1,6,False,False,False,False,,False,,True,False,6210565120.0,6.2,0.87,10.58,14.08,0.0,41.54,,,,2.95,24.100000381469727,42.5,21.43,32.66,49.22,49.29,39.02,42.5,76.33,61.91,n/d,2026-06-30,última,,,Lateral,24.09000015258789,0.041511950263561914,-11.813311569553054,True,False,False,sem sinal (Lateral; sem novo topo (+0.0%))
LOGG3,SMALL11,Real Estate,58.16,54.53,55.79,37.84,98.48,42,Não,3,7,False,False,False,False,True,True,,True,False,2276656896.0,5.65,0.61,26.89,10.75,2.79,149.65,,0.45,0.63,0.11,26.040000915527344,116.7,89.97,59.22,66.53,138.27,94.14,89.97,245.5,261.51,2026-08-06,2026-06-12,última,,,Em Baixa,26.549999237060547,-1.920897688092238,-9.268291904880321,True,False,False,sem sinal (Em Baixa; sem novo topo (-1.9%))
TAEE11,BOVA11,Utilities,58.07,75.37,30.97,53.48,78.03,43,Não,7,7,True,True,True,True,True,True,,True,True,41040285696.0,8.76,1.73,8.21,19.7,10.69,33.52,,2.29,1.49,,39.709999084472656,54.34,33.08,45.99,48.39,,45.45,47.19,18.84,14.45,n/d,2026-05-12,última,,,Em Baixa,41.59000015258789,-4.520319935604167,-10.79664240550101,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.5%))
HYPE3,BOVA11,Healthcare,58.05,62.28,49.37,68.58,51.52,44,Não,3,7,False,False,True,False,True,False,,True,False,15283671040.0,9.01,1.07,4.89,11.91,10.63,19.49,,1.96,0.62,0.1,21.709999084472656,17.69,13.64,30.96,33.17,72.29,33.55,30.96,42.6,54.53,2026-08-06,2026-06-29,última,,,Lateral,21.649999618530273,0.27713379676472805,-19.00632070904118,True,False,False,sem sinal (Lateral; sem novo topo (+0.3%))
BMGB4,SMALL11,Financial Services,57.86,52.6,57.32,,71.21,45,Não,1,6,False,False,False,False,,False,,True,False,3514170112.0,5.97,0.83,7.41,13.98,0.0,28.17,,,,0.69,5.449999809265137,6.73,5.19,11.73,11.61,14.62,9.98,11.61,113.09,83.04,n/d,2026-08-24,próxima,,,Lateral,5.460000038146973,-0.1831543738455732,-6.392483171483265,True,False,False,sem sinal (Lateral; sem novo topo (-0.2%))
BBDC4,BOVA11,Financial Services,57.63,51.05,54.36,,79.55,46,Não,1,6,False,False,False,False,,False,,True,False,198990905344.0,8.12,1.11,8.54,13.7,0.0,25.36,,,,,18.270000457763672,26.0,15.83,22.83,28.87,,23.38,24.42,33.64,27.98,n/d,2026-09-02,próxima,,,Em Alta,18.9505615234375,-3.5912448548404807,-13.97281350636198,True,False,False,sem sinal (Em Alta; sem novo topo (-3.6%))
IGTI11,BOVA11,Real Estate,56.47,72.91,40.13,75.81,25.0,47,Não,2,6,False,False,False,False,True,True,,,False,,11.88,1.54,1.15,12.93,12.16,46.59,,2.82,0.81,0.1,25.459999084472656,4.88,3.76,27.54,28.23,64.29,25.74,27.54,8.15,1.1,n/d,2026-10-16,próxima,,,Lateral,26.541290283203125,-4.073996355085918,-16.323209497138436,True,False,False,sem sinal (Lateral; sem novo topo (-4.1%))
BBSE3,BOVA11,Financial Services,56.18,69.17,25.19,,87.88,48,Não,4,6,False,True,True,False,,False,,True,True,80387096576.0,8.89,7.5,11.1,84.38,0.0,87.93,,,,,41.40999984741211,76.61,46.64,47.26,24.06,,48.64,46.95,13.38,17.46,2026-11-03,2026-02-13,última,,,Em Alta,42.58000183105469,-2.747773446052948,-3.338002567886078,True,False,False,sem sinal (Em Alta; sem novo topo (-2.7%))
CMIG4,BOVA11,Utilities,55.81,58.09,48.69,42.41,82.58,49,Não,6,7,False,True,True,True,False,True,,True,True,32382918656.0,6.67,1.12,9.37,16.75,9.62,11.15,,0.93,0.69,,11.319999694824219,17.68,10.76,17.22,19.65,,16.33,17.45,54.14,44.23,2026-08-13,2026-06-24,última,,,Em Alta,11.279999732971191,0.3546095992902121,-15.114780673891348,True,False,False,sem sinal (Em Alta; sem novo topo (+0.4%))
SMTO3,BOVA11,Basic Materials,55.07,47.37,78.17,55.3,26.52,50,Não,3,7,False,False,True,False,False,True,,True,False,4667301888.0,5.54,0.63,1.55,11.35,6.93,11.25,,2.62,1.61,0.08,14.460000038146973,3.74,2.88,33.54,36.71,78.3,31.03,33.54,131.92,114.62,2026-08-10,2026-07-06,última,,,Em Baixa,16.1200008392334,-10.297771182779714,-32.42094625166033,True,False,False,sem sinal (Em Baixa; sem novo topo (-10.3%))
SUZB3,BOVA11,Basic Materials,54.73,66.16,57.67,56.6,19.7,51,Não,5,7,False,True,True,False,True,False,,True,True,52774309888.0,4.78,1.13,0.01,23.68,6.83,22.96,,3.52,2.02,,42.75,0.07,0.04,90.74,87.25,,44.53,43.66,2.13,4.16,2026-08-12,2026-04-30,última,,,Em Alta,43.099998474121094,-0.8120614536245241,-28.324659915921234,True,False,False,sem sinal (Em Alta; sem novo topo (-0.8%))
CPFE3,BOVA11,Utilities,54.68,75.96,37.39,26.44,77.27,52,Pivô de alta,6,7,False,True,True,True,False,True,,True,True,53430038528.0,9.27,2.2,8.05,23.72,15.33,12.79,,1.15,1.43,0.52,46.369998931884766,62.21,47.96,64.27,48.71,130.31,70.69,62.21,34.17,52.45,2026-08-13,2026-04-30,última,,Pivô de alta,Lateral,47.20000076293945,-1.7584784272003384,-12.495957675591507,True,True,True,Pivô de alta
