ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,pl,pvp,dy,roe,roic,div_liq_ebitda,liq_corr,div_patrim,peg,close,strategy,trend,breakout_level,pct_to_level,vol_ratio,dist_52w_high_pct,fund_ok,breakout,aprovado,note
COGN3,BOVA11,Consumer Defensive,58.47,45.49,74.77,60.83,53.03,41,Não,7.16,0.35,5.09,4.94,10.12,,1.65,0.49,0.13,2.2899999618530273,,Em Baixa,2.3399999141693115,-2.1367501773620345,0.7308910824142447,-51.55226338988712,True,False,False,sem sinal (-2.1% do topo; Em Baixa)
IGTI11,BOVA11,Real Estate,58.39,75.94,43.01,75.81,25.0,42,Não,10.53,1.54,1.16,14.63,12.57,,2.82,0.81,0.09,25.530000686645508,,Em Baixa,26.541290283203125,-3.8102503147618982,0.4266377347335869,-16.09314234825725,True,False,False,sem sinal (-3.8% do topo; Em Baixa)
TAEE11,BOVA11,Utilities,58.25,75.63,31.26,53.48,78.03,43,Não,8.79,1.73,8.19,19.7,10.69,,2.29,1.49,,39.91999816894531,,Em Baixa,41.59000015258789,-4.015393069284867,0.3393867390812401,-10.324906725354488,True,False,False,sem sinal (-4.0% do topo; Em Baixa)
HYPE3,BOVA11,Healthcare,58.24,62.78,49.78,68.58,50.76,44,Não,9.0,1.07,4.89,11.91,10.63,,1.96,0.62,0.1,21.56999969482422,,Lateral,21.649999618530273,-0.36951466566116364,0.27634232257123525,-19.528617629552137,True,False,False,sem sinal (-0.4% do topo; Lateral)
ABCB4,SMALL11,Financial Services,58.13,54.7,48.76,,84.85,45,Rompimento,6.21,0.88,10.56,14.08,0.0,,,,2.96,24.149999618530273,Rompimento,Lateral,24.09000015258789,0.24906378398648066,0.5599891789530637,-11.630354429693057,True,True,True,Rompimento
BMGB4,SMALL11,Financial Services,57.94,52.34,58.21,,70.45,46,Rompimento,5.9,0.83,7.49,13.98,0.0,,,,0.69,5.539999961853027,Rompimento,Lateral,5.400000095367432,2.592590074316825,0.9947347017401169,-4.846668292073931,True,True,True,Rompimento
BBDC4,BOVA11,Financial Services,56.78,51.05,52.46,,78.79,47,Não,8.26,1.13,8.28,13.7,0.0,,,,,18.360000610351562,,Em Alta,18.950593948364258,-3.116489855789839,0.6479071115808102,-13.549176146546793,True,False,False,sem sinal (-3.1% do topo; Em Alta)
BBSE3,BOVA11,Financial Services,56.33,69.17,25.39,,88.26,48,Pivô de alta,8.74,7.37,11.29,84.38,0.0,,,,0.98,41.86000061035156,Pivô de alta,Em Alta,42.58000183105469,-1.6909375052633457,1.0577063256267563,-2.287580622655827,True,True,True,Pivô de alta
CMIG4,BOVA11,Utilities,56.09,58.59,49.44,42.41,81.82,49,Não,6.67,1.12,9.37,16.75,9.62,,0.93,0.69,,11.25,,Em Alta,11.279999732971191,-0.2659550858277293,0.4067004617248168,-15.639686999695524,True,False,False,sem sinal (-0.3% do topo; Em Alta)
SMTO3,BOVA11,Basic Materials,55.05,48.12,77.23,55.3,26.52,50,Não,5.72,0.65,1.51,11.35,6.93,,2.62,1.61,0.09,13.899999618530273,,Em Baixa,16.3700008392334,-15.088583348043338,0.7733825992368389,-35.0381176456114,True,False,False,sem sinal (-15.1% do topo; Em Baixa)
SUZB3,BOVA11,Basic Materials,54.86,66.41,57.8,56.6,19.7,51,Não,4.79,1.13,0.01,23.68,6.83,,3.52,2.02,,42.7400016784668,,Lateral,43.099998474121094,-0.8352594162397753,0.28305001339255126,-28.341423263199882,True,False,False,sem sinal (-0.8% do topo; Lateral)
CPFE3,BOVA11,Utilities,54.66,75.96,37.31,26.44,77.27,52,Pivô de alta,9.22,2.19,8.09,23.72,15.33,,1.15,1.43,0.51,46.47999954223633,Pivô de alta,Lateral,47.20000076293945,-1.5254262903920512,0.294721036412365,-12.288377380451687,True,True,True,Pivô de alta
ABEV3,BOVA11,Consumer Defensive,54.65,78.91,23.2,55.48,59.85,53,Não,15.3,2.81,5.73,18.4,20.62,,1.02,0.03,0.62,15.869999885559082,,Em Baixa,16.1299991607666,-1.6118988762251263,0.4992510251209511,-6.606872970890388,True,False,False,sem sinal (-1.6% do topo; Em Baixa)
RDOR3,BOVA11,Healthcare,54.34,70.47,20.37,49.64,90.91,54,Não,16.53,3.86,12.75,23.35,15.25,,2.86,2.44,,34.38999938964844,,Em Baixa,36.04999923706055,-4.604715346860743,1.0297228097517532,-23.496167939944502,True,False,False,sem sinal (-4.6% do topo; Em Baixa)
ALUP11,SMALL11,Utilities,54.3,61.89,41.5,69.69,41.67,55,Não,9.62,1.15,3.32,12.0,9.46,,3.3,1.14,,32.540000915527344,,Em Baixa,34.11000061035156,-4.6027548130496365,0.3208393753274065,-11.744583797342756,True,False,False,sem sinal (-4.6% do topo; Em Baixa)
SAPR11,SMALL11,Utilities,52.98,59.42,63.02,45.66,27.65,56,Não,8.79,0.85,1.55,9.64,11.81,,1.08,0.57,,35.7599983215332,,Em Baixa,37.43000030517578,-4.461667031863881,0.5349471935445591,-26.600990505851396,True,False,False,sem sinal (-4.5% do topo; Em Baixa)
STBP3,BOVA11,,52.69,98.86,20.42,,9.47,57,Não,13.44,13.6,0.0,101.21,33.73,,,,,,,,,,,,True,False,False,histórico insuficiente
ANIM3,SMALL11,Consumer Defensive,51.86,46.99,70.33,39.18,43.18,58,Não,6.56,0.37,3.57,5.62,14.19,,1.9,2.02,0.55,2.2100000381469727,,Em Baixa,2.869999885559082,-22.996511279774488,0.46183993281497265,-58.21108758197513,True,False,False,sem sinal (-23.0% do topo; Em Baixa)
RANI3,SMALL11,Consumer Cyclical,51.83,54.95,42.48,54.93,59.09,59,Não,14.99,1.35,5.72,9.03,11.69,,2.19,1.29,,8.359999656677246,,Em Alta,8.420000076293945,-0.7125940507486161,0.9821578388053023,-14.203450461814004,True,False,False,sem sinal (-0.7% do topo; Em Alta)
BEEF3,BOVA11,Consumer Defensive,51.79,69.06,55.16,13.31,56.06,60,Não,5.12,2.89,5.37,56.47,17.78,,1.32,13.29,,3.640000104904175,,Lateral,3.7200000286102295,-2.1505355669564907,0.25952619024865486,-50.23798493811276,True,False,False,sem sinal (-2.2% do topo; Lateral)
WEGE3,BOVA11,Industrials,51.48,85.64,4.3,64.13,49.24,61,Rompimento,32.35,10.73,4.16,33.16,24.33,,1.59,0.29,,49.0099983215332,Rompimento,Lateral,48.20000076293945,1.6804928335531377,0.42300488942470577,-9.717892472299406,True,True,True,Rompimento
AZUL4,BOVA11,,51.48,36.74,89.67,,9.47,62,Não,0.07,-0.08,0.0,-119.0,13.31,,,,,,,,,,,,True,False,False,histórico insuficiente
FLRY3,BOVA11,Healthcare,51.46,57.31,31.28,61.5,64.77,63,Rompimento,14.89,1.82,6.25,12.25,12.31,,2.14,1.02,1.22,17.450000762939453,Rompimento,Em Alta,17.270000457763672,1.0422715715381559,0.9979251937593372,-3.591158037740838,True,True,True,Rompimento
ITUB4,BOVA11,Financial Services,51.42,60.46,28.32,,76.52,64,Não,10.25,2.38,8.03,23.24,0.0,,,,0.9,42.810001373291016,,Lateral,43.630001068115234,-1.8794400063021577,0.5533997670312797,-12.129938084156034,True,False,False,sem sinal (-1.9% do topo; Lateral)
SBFG3,SMALL11,Consumer Cyclical,49.97,40.46,61.39,43.18,58.33,65,Não,6.65,0.72,5.62,10.84,7.5,,1.39,0.94,0.47,9.579999923706055,,Em Baixa,10.300000190734863,-6.990293725202735,0.2999282217792989,-37.32231289272016,True,False,False,sem sinal (-7.0% do topo; Em Baixa)
VALE3,BOVA11,Basic Materials,49.82,51.86,36.46,50.26,71.21,66,Rompimento,31.95,1.69,7.5,5.27,18.11,,1.19,0.55,,76.33000183105469,Rompimento,Em Baixa,76.08999633789062,0.31542318926955915,0.7869302695467675,-16.688496460558934,True,True,True,Rompimento
USIM5,BOVA11,Basic Materials,49.71,11.46,85.6,93.01,9.47,67,Não,-4.08,0.46,0.0,-11.18,4.67,,4.54,0.29,-0.03,7.53000020980835,,Em Baixa,8.6899995803833,-13.348670041291133,0.634616499534768,-38.17733972790999,True,False,False,sem sinal (-13.3% do topo; Em Baixa)
