ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,beta,corr_ibov,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
RDOR3,BOVA11,BOVA11,Cuidados de saúde,52.12,48.97,70.0,,,0.2,,63.49,22.5,51.9,43.97,True,65,Não,Fundo duplo,"Fundo duplo (pré-confirmação) — pescoço R$36.05, preço 2.1% abaixo do pescoço; falta fechar acima e segurar",False,5,8,False,,True,,False,False,True,False,True,True,7,10,True,True,True,False,True,False,True,False,True,True,True,0.72,True,77145841664.0,16.46,3.83,12.25,4.01,23.26,13.61,15.63,8.35,6.96,1.12,1.01,2.9,2.51,2.08,65.98,22.9,13.17,6.35,0.64,79.71,18.16,32.33,44.66,9.2,-20.9,-0.2,1.2,0.65,35.310001373291016,10.110051240977503,18.754145052013268,28.423907545328426,21.094764974338005,25.57406591387685,22.871885821412278,16.40074656294866,26.237355116275992,21.183365278396373,21.98332539787514,19.784992858087627,8,True,2.8,-43.967736934008514,-40.007464020038896,n/d,n/d,,,,False,False,,,Lateral,36.06999969482422,-2.107009503640933,-21.449542531818654,False,False,False,sem sinal (Lateral)
COGN3,BOVA11+SMALL11,BOVA11,Consumo discricionário,52.11,51.5,55.55555555555556,,,0.9,,43.36,74.14,44.93,44.68,False,66,Não,Fundo duplo,"Fundo duplo (pré-confirmação) — pescoço R$2.33, preço 4.3% abaixo do pescoço; falta fechar acima e segurar",True,2,8,False,,False,,False,,False,True,True,False,5,9,False,False,False,False,True,False,True,False,True,False,True,0.39,True,4484337152.0,6.59,0.34,5.29,4.02,5.11,0.79,10.24,8.96,3.35,2.9,3.97,1.88,0.5,1.75,26.48,34.0,4.57,3.98,0.45,44.22,55.77,2.03,4.57,9.9,-51.2,-9.4,1.56,0.61,2.2300000190734863,0.6401421964625412,0.9077766934169418,3.427630424944842,7.066656151822504,2.6311607624748397,2.2311832822376236,1.7030431069434664,7.1715165146355755,,,,4,False,11.2,,,n/d,n/d,,,,False,False,,,Lateral,2.2300000190734863,0.0,-52.82163521208264,False,False,False,sem sinal (Lateral) · ⚡ cruzamento de médias (MM21>MM30) hoje
BRBI11,SMALL11,SMALL11,Produtos financeiros,52.07,55.38,33.333333333333336,20.63,,0.4,,33.14,45.87,100.0,90.07,False,67,Não,,,False,4,5,False,,True,,False,False,True,,False,True,3,9,True,True,True,,False,,,True,True,True,True,,True,,8.65,1.71,10.49,11.84,19.7,21.77,1.85,0.0,,,,,,,102.41,-22.4,6.48,0.94,0.23,95.52,4.48,11.74,20.71,9.6,-37.9,-16.3,0.96,0.48,12.869999885559082,10.884095033357905,15.84724236856911,15.47375708783982,15.873170937287119,,7.333333333333334,3.9747150761346797,,12.384606955775043,13.178926060598862,11.861033454538976,4,True,2.2,-7.839677078414176,-3.771506869465313,n/d,n/d,,,,False,False,,,Em Baixa,13.909950256347656,-7.47630546208462,-39.22408305770103,False,False,False,sem sinal (Em Baixa; sem novo topo (-7.5%))
SBFG3,SMALL11,SMALL11,Consumo discricionário,51.78,48.56,70.0,,,0.9,,42.43,84.46,28.26,26.95,False,68,Não,,,False,3,8,False,,True,,False,True,True,True,True,True,7,10,False,True,False,False,True,False,True,False,False,True,False,0.87,True,1923737856.0,4.59,0.6,6.5,2.7,13.07,10.92,8.98,5.0,3.97,3.49,5.45,1.62,1.0,0.4,12.38,185.0,3.68,4.63,0.8,67.87,32.13,7.96,14.95,4.6,-44.3,-19.4,1.63,0.66,8.329999923706055,1.6050829930368478,2.977428952083353,24.046296076057782,23.809720019213252,25.67832652612854,6.709160235224862,17.911527193399483,14.804726504530052,,,,6,False,16.0,,,n/d,n/d,,,,False,False,,,Em Baixa,9.170000076293945,-9.16030693128823,-45.500508039697884,False,False,False,sem sinal (Em Baixa; sem novo topo (-9.2%))
HYPE3,BOVA11+SMALL11,BOVA11,Cuidados de saúde,51.29,53.28,40.0,,,0.2,,59.73,42.55,57.56,42.55,True,69,Não,Fundo triplo,"Fundo triplo (pré-confirmação) — pescoço R$21.84, preço 2.7% abaixo do pescoço; falta fechar acima e segurar",False,3,8,False,,True,,False,False,True,True,True,False,4,10,False,True,False,True,False,False,True,False,True,True,True,0.42,True,15037353984.0,8.61,1.04,4.93,3.87,12.1,12.72,10.74,19.82,7.41,2.25,2.93,1.86,0.53,1.07,33.34,4.5,6.65,6.31,0.5,50.22,49.77,19.85,26.59,7.0,-20.1,-1.6,1.07,0.59,21.25,5.876635879329978,10.90115955615711,32.701800232288036,33.68464293302805,29.464015093425434,25.309181373288858,19.107167374026922,13.225809905423873,23.484825209662613,25.309181373288858,22.778263235959972,7,True,5.7,7.191826992752803,10.516824516059353,n/d,n/d,,,,False,False,,,Em Alta,22.010000228881836,-3.4529769240281616,-20.722443228298214,False,False,False,sem sinal (Em Alta)
MDIA3,SMALL11,SMALL11,Bens de primeira necessidade,51.17,54.91,30.0,,,0.0,,38.49,65.41,89.16,34.04,True,70,Não,,,False,2,8,False,,True,,False,False,False,True,False,True,3,10,False,False,False,False,False,True,True,False,False,False,True,-0.04,True,5748348416.0,8.94,0.68,6.17,3.26,7.65,8.74,8.32,6.23,4.31,-0.32,-0.55,2.55,0.21,1.65,29.13,-22.6,7.35,3.52,1.38,34.41,65.59,16.79,28.44,2.1,-39.7,-10.6,0.71,0.4,17.149999618530273,3.9918255655189467,6.867699828601378,23.574273072305477,32.99378636564864,16.651271038459168,20.302316378571405,11.661919712358243,22.293406826756208,,,,6,False,8.3,,,n/d,n/d,,,,False,False,,,Lateral,17.459671020507812,-1.773638241028741,-40.59847466912285,False,False,False,sem sinal (Lateral)
BEEF3,BOVA11+SMALL11,BOVA11,Bens de primeira necessidade,50.81,54.48,30.0,,,0.0,,67.41,59.9,28.11,35.46,True,71,Não,,,False,5,8,False,,False,,False,False,True,False,False,True,3,10,True,True,True,False,False,True,True,False,False,True,True,9.15,False,3845634560.0,8.46,2.46,5.04,3.4,29.04,144.02,16.55,0.8,3.79,2.98,2.52,1.43,13.46,0.56,28.73,-57.5,5.22,5.34,0.65,95.87,2.86,3.04,7.18,30.6,-44.7,5.4,0.84,0.34,3.9700000286102295,0.9630390084920364,1.7864373607527275,6.217789642917912,4.127898727162465,8.632688717262642,3.760485277130923,5.678132428626925,13.362501779641494,,,,5,False,13.9,,,n/d,n/d,,,,False,False,,,Em Alta,4.099999904632568,-3.1707287572239395,-45.72659102148787,False,False,False,sem sinal (Em Alta)
LOGG3,SMALL11,SMALL11,Imobiliário,50.79,49.17,60.0,,,0.8,,51.39,51.53,18.99,93.62,False,72,Pivô de alta,,,False,2,8,False,,True,,True,True,True,True,False,False,6,10,False,False,False,True,False,False,True,False,True,False,False,0.57,True,2106169856.0,5.66,0.6,28.54,13.45,10.63,8.83,3.04,136.74,19.33,121.08,302.7,0.52,0.64,2.23,76.13,-33.1,3.88,0.1,0.28,45.7,53.91,15.97,28.1,50.4,-14.5,-4.3,0.93,0.52,24.020000457763672,23.078303502649295,28.90113963684716,37.9611737570445,61.827321119921955,67.85077931094706,41.68738825527099,18.10465221496239,,39.91582254252048,37.9611737570445,34.16505638134005,7,True,3.7,42.23586898516201,66.17744288851173,n/d,n/d,,,Pivô de alta,False,False,,,Em Baixa,25.11423110961914,-4.357014344095777,-15.72086713359857,False,True,False,Pivô de alta
SBSP3,BOVA11,BOVA11,Serviços públicos,50.46,50.54,50.0,,,0.1,,71.47,31.22,40.45,24.82,True,73,Não,,,False,7,8,False,,True,,False,False,True,False,False,True,5,10,True,True,True,True,False,True,True,True,True,True,True,0.76,True,88761655296.0,11.06,1.97,2.68,2.57,17.8,17.28,12.72,19.67,8.12,2.25,2.48,1.47,1.14,0.87,28.4,-33.9,10.17,7.77,0.3,59.31,40.69,22.14,35.21,13.3,-28.8,-13.7,1.12,0.71,25.079999923706055,4.600671628347848,8.534245870585258,30.04611202433139,25.486377606323416,34.72259478668136,11.778186567331165,24.22287495435466,25.079999923706055,25.222690977121342,25.283188765014735,22.754869888513262,6,True,7.5,-9.270853438061765,0.5689435958905698,n/d,n/d,,,,False,False,,,Em Baixa,27.389999389648438,-8.43373317786712,-28.98805322992024,False,False,False,sem sinal (Em Baixa; sem novo topo (-8.4%))
GGPS3,SMALL11,SMALL11,Bens Industriais,50.24,50.28,50.0,,,0.7,,61.08,43.57,49.95,19.15,False,74,Não,Fundo duplo,"Fundo duplo (pré-confirmação) — pescoço R$12.96, preço 4.2% abaixo do pescoço; falta fechar acima e segurar",False,5,8,False,,True,,False,False,True,False,True,True,5,10,True,True,False,False,True,True,True,False,False,True,True,0.48,True,9464568832.0,10.34,2.1,2.32,2.32,20.36,19.43,11.88,5.1,6.56,1.03,1.22,2.87,1.38,0.69,23.95,207.7,7.66,7.28,0.78,74.55,25.29,11.0,19.55,12.9,-36.5,-3.8,1.14,0.64,12.420000076293945,2.054914846624271,3.8118670404880226,15.915377273780926,12.642790482177237,20.799691392374175,9.294207014285712,14.534042642471638,10.014801946179611,,,,6,False,10.1,,,n/d,n/d,,,,False,False,,,Lateral,12.539999961853027,-0.956936889347082,-36.7938915144727,False,False,False,sem sinal (Lateral)
