ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,ev_ebitda,div_liq_ebitda,liq_corr,div_patrim,peg,payout,cresc_5a,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,beta,corr_ibov,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
PGMN3,SMALL11,SMALL11,Bens de primeira necessidade,50.71,54.37,30.0,,,0.0,,46.31,64.66,42.37,88.89,73,Não,3,8,False,,True,,False,False,False,False,True,False,3,10,False,True,True,False,False,False,True,False,False,,True,2333278464.0,7.3,0.7,7.13,10.75,9.61,12.78,2.02,2.6,3.31,1.78,1.02,3.52,78.45,13.7,0.83,68.82,31.1,3.13,7.54,3.5,-57.0,-27.3,1.47,0.58,3.240000009536743,2.4870251042238007,2.9792680041714044,3.79772504913284,6.798699101280832,5.688853897487068,7.550463080963396,1.7634685116523592,,4.437928964130243,3.79772504913284,3.4179525442195557,7,True,4.3,5.492362165401854,36.97311577368729,n/d,n/d,,,,False,False,,,Em Baixa,3.5399999618530273,-8.474575015510677,-57.4803141968942,False,False,False,sem sinal (Em Baixa; sem novo topo (-8.5%))
ANIM3,SMALL11,SMALL11,Consumo discricionário,50.44,52.28,40.0,,,0.9,,46.98,78.89,26.17,61.81,74,Não,3,8,False,,False,,False,False,False,False,True,False,4,10,True,False,True,False,False,False,True,False,False,,True,793506368.0,5.36,0.34,3.81,6.42,6.36,14.6,3.27,3.01,3.39,1.9,2.02,1.29,34.42,12.0,0.35,72.15,22.61,1.93,5.17,8.8,-59.4,-34.3,2.05,0.52,2.0999999046325684,0.9632260496790914,1.4291919274706522,4.152300588565112,7.378849979001375,4.150023392710963,2.3412703324435635,2.0738119736165346,,2.518304044080986,2.207541153030049,1.9867870377270442,6,True,7.7,-5.391089145088923,19.919245640232887,n/d,n/d,,,,False,False,,,Em Baixa,2.2699999809265137,-7.488990208033341,-60.29108118652672,False,False,False,sem sinal (Em Baixa; sem novo topo (-7.5%))
BEEF3,BOVA11+SMALL11,BOVA11,Bens de primeira necessidade,50.16,53.72,30.0,,,0.0,,64.88,64.65,23.75,36.11,75,Não,5,8,False,,False,,False,False,True,False,False,True,3,10,True,True,True,False,False,True,True,False,True,8.69,False,3112188928.0,6.63,1.93,6.43,3.41,29.04,16.55,0.8,3.62,2.96,1.43,13.46,0.44,22.58,-49.3,0.65,95.87,2.86,3.04,7.18,3.3,-56.3,-17.4,0.74,0.31,3.140000104904175,0.7639808792866417,1.4171845310767204,6.275264161384663,4.163758218631405,8.717305261474449,4.566625735654447,5.730618592660711,12.301790242124333,,,,6,False,16.1,,,n/d,n/d,,,,False,False,,,Em Baixa,3.640000104904175,-13.736263340386989,-57.07342637049662,False,False,False,sem sinal (Em Baixa; sem novo topo (-13.7%))
ALOS3,BOVA11+SMALL11,BOVA11,Imobiliário,49.91,44.6,80.0,,,0.8,,51.9,39.03,27.93,59.03,76,Não,3,8,False,,True,,False,True,False,True,True,True,8,10,False,False,False,True,True,False,True,False,False,2.45,False,12833620992.0,14.06,1.02,11.3,6.09,7.27,6.39,31.4,4.82,3.4,0.72,0.56,13.47,85.64,60.8,0.27,46.56,50.55,20.2,32.44,27.0,-20.9,-8.6,1.17,0.8,25.65999984741211,11.164007455412353,12.1895197501978,14.23343658044572,32.140687504368614,13.021647555157195,23.91405793682303,6.073057734662164,59.694531778033266,,,,7,False,9.8,,,n/d,n/d,,,,False,False,,,Em Baixa,27.56999969482422,-6.927819617534048,-21.754061140926538,False,False,False,sem sinal (Em Baixa; sem novo topo (-6.9%))
ECOR3,SMALL11,SMALL11,Bens Industriais,49.49,45.87,70.0,,,0.7,,52.13,60.65,24.44,23.61,77,Não,1,8,False,,True,,False,True,True,False,False,True,7,10,False,False,False,False,False,False,True,False,False,11.28,False,4145902592.0,7.8,1.04,4.94,2.51,13.28,11.52,4.59,5.05,4.62,2.52,6.64,0.73,19.59,-89.7,0.19,88.21,11.06,5.96,11.74,0.0,-49.2,-23.0,1.75,0.72,5.960000038146973,1.0692849598544136,1.983523600529937,10.12435903915992,9.925983537675965,10.078496933991698,1.8180486816408992,7.169927874741971,10.363419236470351,,,,5,False,9.7,,,n/d,n/d,,,,False,False,,,Em Baixa,7.239999771118164,-17.67955488171935,-50.05301302546694,False,False,False,sem sinal (Em Baixa; sem novo topo (-17.7%))
SMTO3,SMALL11,SMALL11,Bens de primeira necessidade,49.31,54.48,20.0,,,0.0,,45.41,78.67,54.19,35.42,78,Não,3,8,False,,True,,False,False,True,False,False,False,2,10,False,True,False,False,False,True,True,False,True,1.51,False,4686668288.0,6.06,0.67,1.46,3.4,11.0,6.36,11.43,3.43,2.38,3.16,1.65,0.69,20.61,-39.3,0.45,68.55,31.45,12.82,21.12,13.3,-31.3,-11.9,0.57,0.24,14.520000457763672,3.527840451695688,6.544144037895501,31.74752575336116,34.18095367286004,29.0736886349398,10.944433965463848,19.552802227669993,43.563254003136755,,,,6,False,12.3,,,n/d,n/d,,,,False,False,,,Em Baixa,15.710000038146973,-7.57479043598821,-32.14053327991048,False,False,False,sem sinal (Em Baixa; sem novo topo (-7.6%))
MOTV3,BOVA11,BOVA11,Bens Industriais,49.25,52.65,30.0,,,0.7,,73.83,53.6,20.78,18.75,79,Não,5,8,False,,True,,False,False,True,False,True,False,3,10,True,True,False,True,False,False,True,True,False,2.15,False,27717062656.0,7.33,1.6,1.48,2.26,21.85,11.72,19.27,6.44,3.69,1.77,2.45,0.49,16.56,58.4,0.44,77.07,22.24,12.68,17.55,8.7,-21.4,-8.2,1.25,0.77,13.789999961853027,2.224954644687819,4.127290865895904,24.927353273472384,19.100447633215655,32.46921752434173,11.630449124086738,22.763847140303085,8.394382756106014,,,,6,False,14.6,,,n/d,n/d,,,,False,False,,,Em Baixa,14.970000267028809,-7.882433427704827,-22.296827371736462,False,False,False,sem sinal (Em Baixa; sem novo topo (-7.9%))
GOAU4,BOVA11+SMALL11,BOVA11,Materiais,49.05,52.41,30.0,,,1.0,,33.33,70.89,63.05,70.83,80,Não,4,8,False,,True,,False,False,False,True,True,False,3,10,False,False,True,False,True,True,True,False,True,0.66,True,14454941696.0,18.28,0.76,2.49,8.27,4.13,10.0,1.92,2.11,0.98,2.88,0.28,0.25,151.09,72.5,1.04,34.12,23.4,6.48,11.53,68.7,-5.2,10.4,0.92,0.58,10.930000305175781,6.4529322967301965,11.970189410434514,7.922456457526207,13.90966085909813,17.93763726232349,6.0901031052707335,7.234847029137142,39.053929305722754,10.216832345788632,7.922456457526207,7.130210811773586,7,True,6.4,-34.76477024070024,-6.524866783850292,n/d,n/d,,,,False,False,,,Em Alta,11.529999732971191,-5.203811289601779,-5.44982778176929,False,False,False,sem sinal (Em Alta)
AXIA3,BOVA11+Carteira,BOVA11,Serviços públicos,48.11,46.01,60.0,,,0.0,,48.77,30.29,59.53,45.83,81,Não,3,8,False,,True,,False,False,False,True,True,True,6,10,False,False,False,True,False,True,True,False,True,0.3,True,111463522304.0,12.13,1.2,5.76,4.28,9.86,3.25,27.05,14.81,2.95,2.05,0.63,2.56,51.87,9.7,0.39,57.63,42.34,40.32,67.15,21.3,-27.2,-11.9,1.39,0.63,48.90999984741211,14.940466100865528,23.67320839596105,45.635393501047226,60.80900497591741,36.376932771413934,20.702513359520484,22.798185622532024,20.42435934729054,26.36443701409011,22.798185622532024,20.518367060278823,7,True,4.1,-58.04872802230345,-46.09601902199743,2026-11-04,2025-11-17,última,"A análise fundamentalista da AXIA3 revela uma empresa de serviços públicos que opera com rentabilidade abaixo de seus pares, evidenciada por um ROE de 9,9% frente à média setorial de 12,1% e um ROIC de 3,2% contra os 9,6% do setor, sugerindo uma eficiência na alocação de capital aquém do ideal. Essa qualidade operacional moderada reflete-se em múltiplos de preço que não se mostram excessivamente descontados, com um P/L de 12,13 e um P/VP de 1,2, indicando que a relação entre qualidade e preço não configura uma clara barganha no momento. No que tange à saúde financeira, a companhia demonstra solidez ao conciliar sua rentabilidade com um endividamento controlado, apresentando uma relação Dívida Líquida/EBITDA de 2,95 que se posiciona abaixo da média setorial de 3,32, além de uma confortável liquidez corrente de 2,05. O dividend yield de 5,76% mostra-se coerente com a robusta margem líquida de 27,05%, mas a sustentabilidade do crescimento desses proventos no longo prazo pode ser limitada pelo avanço modesto da receita, cujo CAGR de 5 anos de 9,7% ficou significativamente abaixo dos 20,2% do setor. Essa perda de tração frente aos concorrentes é corroborada pelo checklist de critérios de investimento, no qual a AXIA3 atendeu a apenas 3 dos 8 requisitos avaliados, falhando em superar a taxa Selic e a média setorial em suas taxas de retorno. Sob a ótica do valuation, o preço atual de R$ 48,91 situa-se bem acima das referências de preço-teto calculadas, as quais exibem uma dispersão acentuada entre o método conservador de Bazin, a R$ 14,94, e o limite de Graham, a R$ 60,81. Essa disparidade resulta em uma média de R$ 26,36 e uma mediana de R$ 22,80, culminando em um preço-teto ajustado com margem de segurança de R$ 20,52, o que representa um upside negativo de 58,0% em relação à cotação de mercado. Como balanço final, a AXIA3 tem como prós a sua forte margem líquida, a liquidez corrente confortável e uma alavancagem financeira mais baixa que a de seus pares, ao passo que figuram como contras o seu crescimento de receita abaixo da média do setor, o retorno sobre o capital deprimido e um preço de tela que atualmente não oferece margem de segurança perante as métricas de fluxo de caixa e dividendos descontados.",,False,True,59.55,-17.87,Em Baixa,53.709999084472656,-8.936881993818924,-27.90388784249618,False,False,False,sem sinal (Em Baixa; sem novo topo (-8.9%))
PRIO3,BOVA11,BOVA11,Energia,47.76,46.39,55.55555555555556,,,0.9,,62.86,39.82,37.25,6.94,82,Não,3,8,False,,True,,False,,True,True,True,False,5,9,False,False,False,True,True,False,True,False,True,0.8,True,46876372992.0,13.32,1.83,0.0,0.18,13.71,10.92,18.11,5.67,1.73,1.34,0.9,1.0,2.36,189.4,0.25,59.83,40.17,34.2,72.1,71.9,-18.5,-4.7,0.13,0.07,58.779998779296875,0.7450360640980511,1.3820418989018848,58.47109488180807,56.47330105942868,59.85408349640301,1.9711211077405184,48.919132144804806,22.123332477824686,,,,5,False,80.3,,,n/d,n/d,,,,False,False,,,Em Alta,61.2400016784668,-4.016986988481596,-19.45739096254456,False,False,False,sem sinal (Em Alta)
