ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
RECV3,BOVA11+SMALL11,BOVA11,Energia,60.64,62.52,50.0,,,0.9,,56.56,74.05,51.81,81.94,44,Pivô de alta,2,7,False,,True,,False,True,True,False,False,3,6,False,False,False,True,False,,True,False,True,,True,3102966016.0,6.01,0.68,13.34,9.76,11.26,10.15,17.93,,2.18,0.77,1.29,10.59000015258789,7.380342936146904,11.57448751584219,19.73870639925239,24.84823427682678,25.398606234758574,20.390008606669983,22.293470338039583,20.064123304235626,4,True,3.4,89.46291798997315,92.54021069761036,n/d,2026-05-19,última,"A PetroRecôncavo (RECV3) apresenta um cenário de valuation bastante descontado, onde múltiplos de preço baixos, como o P/L de 6,01 e o P/VP de 0,68, convivem com indicadores de rentabilidade que, embora positivos, situam-se abaixo da média do setor, evidenciado pelo ROE de 11,3% (frente a 16,2% dos pares) e pelo ROIC de 10,2% (frente a 13,8% dos pares). Essa combinação sugere que o mercado precifica a empresa com desconto devido à sua menor eficiência operacional recente e ao severo encolhimento de sua receita, cujo CAGR de cinco anos de -45,6% ficou drasticamente abaixo da média setorial de 22,4%. Por outro lado, a saúde financeira da companhia mostra-se robusta, com um endividamento controlado de 0,77 na relação dívida/patrimônio e uma confortável liquidez corrente de 2,18, o que garante sustentabilidade para a operação. Esse balanço patrimonial sólido dá suporte a um expressivo Dividend Yield de 13,34%, o qual se mostra coerente com a forte margem líquida de 17,93% e com a baixa alavancagem, permitindo uma distribuição de proventos generosa mesmo sem um crescimento expressivo nos lucros. Sob a ótica do checklist de critérios fundamentalistas, a empresa atende a apenas 2 de 7 requisitos, penalizada justamente por não superar as médias setoriais de rentabilidade e crescimento, além de registrar vendas de papéis por parte de insiders. No campo da avaliação por preço-teto, observa-se uma enorme dispersão entre os métodos de valuation, variando desde os conservadores R$ 7,13 pelo método de Bazin até os otimistas R$ 24,53 de Lynch, resultando em uma média de R$ 19,70 e um preço-teto ajustado com margem de segurança de R$ 19,38, o que projeta um expressivo potencial de valorização de 89,5% frente ao preço atual de R$ 10,23. Como principais prós, destacam-se o valuation extremamente atrativo, o robusto retorno via dividendos e a sólida posição de liquidez, enquanto os contras residem no histórico de contração de receita, na rentabilidade abaixo dos pares setoriais e no fraco desempenho no checklist de qualidade.",Pivô de alta,False,False,,,Em Alta,10.890000343322754,-2.7548226012574006,-25.63514079301775,True,True,True,Pivô de alta
ABEV3,BOVA11,BOVA11,Bens de primeira necessidade,60.39,56.34,83.33333333333333,,,0.0,,78.76,19.82,53.67,52.08,45,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,False,,True,False,True,,True,235964186624.0,15.02,2.76,5.01,5.43,18.4,20.62,18.41,,1.02,0.03,4.43,15.270000457763672,5.923857485920978,8.081552035929082,9.90675113878603,11.249696390567838,8.967973557395739,8.825966121719933,8.967973557395739,8.071176201656165,5,True,1.9,-47.14357590243184,-42.20061652170693,2026-10-29,2026-09-22,próxima,,,False,False,,,Em Baixa,16.1299991607666,-5.331672335698112,-10.137800707599432,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.3%))
ITUB4,BOVA11,BOVA11,Produtos financeiros,60.39,56.93,80.0,15.95,,0.4,,59.13,37.79,70.71,67.36,46,Não,4,6,False,,True,,False,True,,True,True,4,5,True,True,False,,True,,True,False,True,,True,446385815552.0,9.64,2.16,8.51,7.15,22.45,0.0,32.58,,,,1.38,40.52000045776367,20.697606440644734,38.39405994739598,55.69398403167723,42.12067362455959,59.37071138504329,38.261883473239315,38.39405994739598,34.55465395265638,3,True,2.7,-14.721980349741893,-5.572845407240612,n/d,2026-09-01,próxima,,,False,False,,,Em Baixa,43.16999816894531,-6.138517080336447,-16.830287414354583,True,False,False,sem sinal (Em Baixa; sem novo topo (-6.1%))
TFCO4,SMALL11,SMALL11,Consumo discricionário,59.5,58.23,66.66666666666667,,,0.9,,81.99,25.27,66.74,16.67,47,Não,4,7,False,,True,,False,True,True,False,True,4,6,True,True,True,False,False,,True,False,True,,True,2223248128.0,15.58,3.8,2.18,1.72,24.42,25.98,13.23,,2.83,0.3,1.04,14.649999618530273,1.8011467763739974,3.3411272701737644,12.459081832190378,9.03136402141783,15.723109701360082,,,,3,False,8.7,,,n/d,2026-06-29,última,,,False,False,,,Em Baixa,15.010000228881836,-2.3984050956832093,-19.407454769290922,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.4%))
EZTC3,SMALL11,SMALL11,Consumo discricionário,59.21,57.89,66.66666666666667,,,0.9,,51.6,62.75,68.16,53.47,48,Não,2,7,False,,True,,False,True,True,False,True,4,6,False,False,False,True,False,,True,False,True,,True,2959420928.0,5.62,0.57,10.68,5.5,10.15,5.14,36.95,,3.06,0.34,0.8,10.670000076293945,4.189577803087392,7.771666824727112,25.156138969910096,28.278091536698515,23.753832364874565,25.729354290494395,25.156138969910096,22.640525072919086,3,True,6.7,112.18861209964408,141.13733933009564,2026-11-05,2026-08-14,próxima,,,False,False,,,Em Baixa,12.010000228881836,-11.157369917158178,-35.689578084445714,True,False,False,sem sinal (Em Baixa; sem novo topo (-11.2%))
TEND3,SMALL11,SMALL11,Consumo discricionário,58.49,62.93,33.333333333333336,,,0.9,,78.06,57.23,46.63,41.67,49,Não,4,7,False,,False,,False,True,True,False,False,2,6,True,True,True,False,False,,True,False,True,,True,3998824448.0,7.12,2.68,2.45,3.86,37.61,14.39,12.08,,1.96,0.79,0.47,32.63999938964844,8.992969184001629,16.681957836323022,60.741571897871026,35.443288286068636,86.44684823325132,,,,4,False,9.6,,,2026-11-04,2025-12-26,última,,,False,False,,,Em Baixa,33.630001068115234,-2.943805075895234,-13.969423903271982,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.9%))
TAEE11,BOVA11+SMALL11,BOVA11,Serviços públicos,58.47,59.96,50.0,,,0.0,,74.68,30.09,50.38,87.5,50,Não,6,7,False,,True,,False,True,False,False,True,3,6,True,True,True,True,False,,True,True,True,,True,40037793792.0,8.62,1.7,8.34,10.68,19.7,10.69,33.52,,2.29,1.49,5.53,38.72999954223633,29.552342919041582,33.775988872109,36.679917116176306,47.991094787887356,55.00435886137589,40.60074051131802,36.679917116176306,33.011925404558674,5,True,1.9,-14.763940628096073,4.830211699438802,n/d,2026-05-12,última,,,False,False,,,Em Baixa,41.59000015258789,-6.876654483911082,-12.998084148740318,True,False,False,sem sinal (Em Baixa; sem novo topo (-6.9%))
HYPE3,BOVA11+SMALL11,BOVA11,Cuidados de saúde,57.99,56.46,66.66666666666667,,,0.2,,61.02,48.66,63.03,42.36,51,Rompimento,3,7,False,,True,,False,True,True,True,False,4,6,False,True,False,True,False,,True,False,True,,True,15375191040.0,8.71,1.05,4.87,3.87,12.1,10.74,19.82,,1.86,0.52,1.09,21.84000015258789,6.037348362540849,11.199281212513274,33.22388082913771,34.256277581064424,29.81714966052461,32.43243602357558,33.22388082913771,29.90149274622394,3,True,5.7,36.91159586681971,48.50016390559668,2026-10-27,2026-06-29,última,"A Hypera (HYPE3) apresenta um perfil fundamentalista intrigante no setor de cuidados de saúde, onde sua rentabilidade medida pelo ROE de 12,1% supera confortavelmente a média dos pares de 6,2%, sugerindo forte capacidade de gerar valor sobre o capital próprio, embora o ROIC de 10,7% fique ligeiramente abaixo da média setorial de 10,8%. Essa qualidade operacional convive com múltiplos de preço bastante descontados, evidenciados por um P/L de 8,71 e um P/VP de 1,05, o que indica uma relação atrativa entre a eficiência da empresa e o seu valor de mercado atual. Sob a ótica financeira, a excelente margem líquida de 19,82% confere sustentabilidade ao endividamento controlado, com relação Dívida/Patrimônio de 0,52 e liquidez corrente robusta de 1,86, garantindo que o pagamento de dividendos, traduzido em um dividend yield de 4,87%, seja compatível com a saúde do balanço. No entanto, o crescimento histórico da companhia acende um alerta, dado que o CAGR de receita de 5 anos de 4,6% está drasticamente abaixo da média do setor de 142,0%, o que explica por que o checklist de critérios fundamentalistas aprovou apenas 3 de 7 itens avaliados. No campo do valuation, as estimativas de preço-teto revelam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 5,97 por Bazin e R$ 11,08 por Gordon até os otimistas R$ 32,86 por Fluxo de Caixa Descontado e R$ 33,88 por Graham. Essa divergência resulta em uma média de R$ 32,08 e uma mediana de R$ 32,86, estabelecendo um preço-teto ajustado com margem de segurança de R$ 29,57, o que projeta um upside potencial de 36,9% frente à cotação atual de R$ 21,60. Em balanço, os prós da tese concentram-se na sólida margem líquida, no endividamento sob controle, no ROE acima dos pares e no expressivo desconto patrimonial, enquanto os contras residem no fraco ritmo de crescimento frente ao setor, na reprovação da maioria dos critérios do checklist e na grande volatilidade entre as métricas de valuation por dividendos e fluxos futuros.",Rompimento,False,False,,,Em Alta,21.649999618530273,0.8776006346669751,-18.521318256315013,True,True,True,"Rompimento (vol x0.3, +0.9% do topo, MM50>MM200)"
CPFE3,BOVA11,BOVA11,Serviços públicos,57.64,56.05,66.66666666666667,,,0.0,,75.51,35.73,22.64,86.11,52,Não,5,7,False,,True,,False,True,False,True,True,4,6,True,True,True,False,False,,True,True,True,,True,50895077376.0,8.96,2.12,8.33,10.16,23.72,15.33,12.79,,1.15,1.43,4.22,44.16999816894531,32.05888185353167,38.59555412661413,42.39164264668352,48.07249965776816,60.56305068954492,44.33632579482848,42.39164264668352,38.15247838201517,5,True,1.9,-13.623545475174803,0.37656244686039564,2026-08-13,2026-04-30,última,,,False,False,,,Em Baixa,46.869998931884766,-5.760616224598836,-16.647541982435488,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.8%))
AZZA3,BOVA11+SMALL11,BOVA11,Consumo discricionário,57.57,55.97,66.66666666666667,,,0.9,,40.97,87.8,59.19,37.5,53,Não,1,7,False,,True,,False,True,True,False,True,4,6,False,False,False,False,False,,True,False,True,,True,3362184960.0,4.22,0.44,14.55,3.53,10.39,7.75,7.17,,2.2,0.49,0.48,16.6299991607666,4.19426842828956,7.780367934477135,52.21504475833115,57.88964983979201,48.75812834715286,,,,3,False,13.8,,,2026-08-12,2025-12-22,última,,,False,False,,,Em Baixa,18.59000015258789,-10.543308099695958,-52.45024054780907,True,False,False,sem sinal (Em Baixa; sem novo topo (-10.5%))
