ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,beta,corr_ibov,corr_usd,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
HAPV3,BOVA11+SMALL11,BOVA11,Cuidados de saúde,38.81,35.85,55.55555555555556,,,0.2,P/L=-19.14<2,12.07,81.06,47.95,5.67,True,106,Não,,,False,2,8,False,,False,,False,,False,True,True,False,5,9,False,False,False,False,True,False,True,False,False,False,True,0.16,True,3216345344.0,-19.14,0.07,0.0,0.14,-0.36,-1.11,2.12,-0.55,4.19,3.07,7.69,1.84,0.33,,,41.3,5.65,1.55,0.45,33.25,66.74,6.09,41.71,11.2,-83.8,-37.2,12.42,16.84,-85.4,77.2,-53.5,6.09,16.49,-65.83,1.58,0.35,0.03,6.769999980926514,0.06537601270994609,0.12127250357694998,,,,,,15.389203579975826,,,,2,False,235.4,,,n/d,n/d,,,,False,False,,,Em Baixa,9.789999961853027,-30.847803806884745,-84.13033285245733,False,False,False,sem sinal (Em Baixa; sem novo topo (-30.8%))
EMBJ3,BOVA11,BOVA11,Bens Industriais,38.79,33.87,66.66666666666667,,,0.7,,44.47,12.49,49.4,8.51,False,107,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$97.61, preço 5.5% abaixo do pescoço; falta fechar acima e segurar",False,4,8,False,,False,,False,,True,True,True,False,6,9,False,False,False,False,True,True,True,True,False,False,True,0.14,True,65687961600.0,29.72,3.87,1.05,0.71,13.01,5.09,9.61,5.28,11.31,0.52,0.76,1.44,0.69,2.9,21.23,113.9,16.22,3.7,0.82,70.5,26.66,68.4,103.57,34.9,-10.9,11.8,83.21,84.08,-34.0,38.2,4.6,68.4,103.57,-7.73,0.81,0.36,0.01,92.27999877929688,4.708334616943191,8.733960714429621,41.140981959141435,40.81492042444117,34.037949582934424,17.87766041123622,28.295890962460682,42.61687666455747,,,,6,False,9.1,,,n/d,n/d,,,,False,False,,,Lateral,101.29000091552734,-8.89525328738473,-12.205131787934963,False,False,False,sem sinal (Lateral)
AUAU3,SMALL11,SMALL11,Consumo discricionário,38.73,33.8,66.66666666666667,,,0.9,,31.38,50.4,30.07,10.64,False,108,Não,,,False,2,8,False,,,,,,False,True,True,,2,3,False,False,False,False,False,True,True,False,False,False,True,0.51,True,3098857472.0,15.39,0.93,0.88,0.92,6.04,,7.01,3.84,3.21,2.53,5.05,1.26,0.7,2.97,14.14,22.2,10.62,5.6,,,,2.8,3.87,28.4,-6.9,7.6,3.25,3.29,-27.2,39.0,-6.1,2.8,3.87,-18.43,0.91,0.44,0.06,3.5999999046325684,0.2363367998761529,0.3948443644090873,2.7914536867421305,4.513702842657208,1.4280103026255602,0.5800489678635449,1.3873646801898307,9.599240262337048,,,,4,False,40.6,,,n/d,n/d,,,,False,False,,,Lateral,3.450000047683716,4.347821880453617,-10.748431441512196,False,False,False,sem sinal (Lateral)
NATU3,BOVA11+SMALL11,BOVA11,Bens de primeira necessidade,38.65,43.27,12.5,,,0.0,P/L=-4.52<2,39.45,57.48,54.51,2.48,True,109,Fundo duplo,,,False,2,8,False,,False,,,,False,True,False,False,1,8,False,False,False,False,False,True,True,False,False,True,True,0.35,True,12030118912.0,-4.52,0.95,0.0,0.0,-21.11,16.32,10.18,-12.47,5.16,2.58,3.54,1.68,0.54,,,-88.9,9.23,2.55,0.77,55.21,44.79,7.2,10.7,21.7,-18.1,-2.8,8.69,8.79,-30.6,47.1,21.7,7.2,10.7,9.37,1.14,0.42,0.03,8.760000228881836,,,,,,,,10.624184843090772,10.624184843090772,10.624184843090772,9.561766358781695,1,True,1.0,9.152581152411688,21.28064572490187,n/d,n/d,,,Fundo duplo,False,False,,,Em Alta,8.9399995803833,-2.013415659397011,-21.434972837814982,False,True,False,Fundo duplo — rompeu pescoço ~R$8.73 (candidato)
SMFT3,BOVA11+SMALL11,BOVA11,Consumo discricionário,38.38,38.09,40.0,,,0.9,,49.56,42.33,13.61,24.82,False,110,Não,,,False,1,8,False,,False,,False,False,True,False,False,False,4,10,False,False,False,False,False,False,True,False,True,False,False,1.82,False,10604918784.0,15.09,1.7,6.0,2.63,11.3,9.4,10.6,8.53,3.84,4.32,5.7,1.2,2.24,2.21,39.67,-6.3,8.55,5.98,0.3,73.66,26.34,16.61,26.03,4.0,-33.6,-8.0,20.6,21.02,-36.2,36.0,-24.3,16.61,23.41,-36.63,1.28,0.61,0.07,17.280000686645508,3.2449583183039334,6.019397680453796,15.172962829559506,16.183257105600273,10.817001070685015,13.031533824819112,7.966034114569259,,11.531697770947828,11.924267447752063,10.731840702976857,6,True,5.0,-37.89444284414445,-33.26564055139267,n/d,n/d,,,,False,False,,,Em Baixa,17.600000381469727,-1.8181800448205276,-34.554837808221365,False,False,False,sem sinal (Em Baixa; sem novo topo (-1.8%))
AZZA3,BOVA11+SMALL11,BOVA11,Consumo discricionário,37.76,39.13,30.0,,,0.9,,24.83,61.76,43.8,37.59,False,111,Não,,,False,1,8,False,,True,,False,False,False,True,False,True,3,10,False,False,False,False,False,False,True,False,False,True,True,0.38,True,3073073408.0,9.47,0.38,16.66,3.54,4.03,11.4,5.88,2.85,3.63,2.74,6.52,2.26,0.49,3.53,33.48,-94.3,3.18,3.33,0.93,48.36,51.64,14.54,31.57,4.5,-51.8,-17.1,23.71,22.9,-53.9,43.8,-40.1,14.54,28.04,-52.43,1.23,0.49,0.01,15.199999809265137,3.838234921746636,4.874541810852578,14.560215913225514,38.00739056775022,9.977159318163368,48.40220860617453,6.992502635735353,27.36696722697454,,,,4,False,12.6,,,n/d,n/d,,,,False,False,,,Em Baixa,16.31999969482422,-6.862744525137964,-52.49037757597821,False,False,False,sem sinal (Em Baixa; sem novo topo (-6.9%))
RAIL3,BOVA11,BOVA11,Bens Industriais,37.04,34.75,50.0,,,0.7,,50.27,25.12,22.51,13.48,False,112,Não,,,False,2,8,False,,False,,False,False,False,False,True,True,5,10,False,False,False,False,True,False,True,False,True,False,False,1.64,False,28450369536.0,22.84,1.94,0.72,1.31,8.48,1.9,12.06,8.53,6.21,3.16,3.66,1.31,2.01,3.84,29.92,56.8,11.95,7.07,0.25,73.88,25.74,12.33,17.04,24.3,-10.0,7.0,15.04,14.98,-27.6,33.8,4.7,12.33,17.04,-7.63,1.15,0.59,-0.01,15.329999923706055,1.4346237998593023,2.6407825632223814,8.824957648077302,10.924070568930977,4.867879972926895,7.686449865904434,4.300104067183084,11.792143441319116,,,,7,False,8.2,,,n/d,n/d,,,,False,False,,,Em Alta,15.079999923706055,1.657824942074404,-11.533867400504649,False,False,False,sem sinal (Em Alta)
TIMS3,BOVA11,BOVA11,Comunicação,37.0,31.18,70.0,,,0.4,,31.11,7.88,37.39,77.3,False,113,Não,,,False,3,8,False,,True,,False,False,False,True,True,True,7,10,False,False,False,True,True,False,True,False,True,True,True,0.49,True,44678737920.0,3259.92,1.78,7.89,8.95,0.05,11.85,0.76,15.78,113.69,1.05,2.63,0.85,0.66,1303.97,29188.64,2.5,8.9,7.75,0.43,57.89,42.11,17.94,27.96,4.8,-32.7,-14.3,22.48,22.98,-35.8,28.4,-11.9,17.94,27.96,-24.23,0.81,0.49,0.09,18.809999465942383,12.030056298159552,15.01141807639909,,,,30.75,,0.7010009506556776,,,,3,False,43.9,,,n/d,n/d,,,,False,False,,,Em Baixa,18.75,0.31999715169270804,-33.64993448498335,False,False,False,sem sinal (Em Baixa; sem novo topo (+0.3%))
CBAV3,SMALL11,SMALL11,Materiais,36.85,38.06,30.0,,,1.0,,39.03,38.96,38.9,29.79,False,114,Não,,,False,4,8,False,,False,,False,False,True,True,True,False,3,10,False,True,False,False,True,False,True,True,False,False,True,0.57,True,7285503488.0,12.23,1.44,0.39,3.04,11.81,-1.32,6.25,6.41,6.55,1.95,4.36,2.06,0.89,1.65,37.2,28.1,9.56,3.49,0.48,67.68,30.73,3.38,11.23,231.5,-0.4,3.5,10.18,8.56,-15.2,34.4,59.6,7.01,11.23,47.27,0.23,0.11,0.01,11.1899995803833,2.431512880860603,4.510456393996418,12.123262014724343,12.648145552492307,9.56886786822868,0.7922294886940884,6.709399794618342,7.226301736551264,,,,6,False,16.0,,,n/d,n/d,,,,False,False,,,Em Alta,11.229999542236328,-0.35618845488449846,-0.6216753736734693,False,False,False,sem sinal (Em Alta)
YDUQ3,BOVA11+SMALL11,BOVA11,Consumo discricionário,36.17,35.49,40.0,,,0.9,,34.82,43.35,25.41,39.01,False,115,Fundo duplo,,,False,1,8,False,,False,,False,False,False,False,True,False,4,10,False,False,False,False,False,False,True,False,False,False,False,1.48,True,2267138560.0,21.08,0.82,6.52,3.6,3.89,5.03,11.35,2.04,3.87,3.14,3.87,1.61,1.72,22.48,75.89,1.0,4.21,7.39,0.4,70.08,29.69,7.32,14.76,21.7,-39.6,-1.7,11.8,11.1,-50.4,47.3,-26.9,7.32,14.76,-39.23,1.6,0.58,0.02,8.90999984741211,2.2913530007156497,2.47886719955485,3.2661814994640874,10.165452753159524,1.9181083501391099,5.908796684039563,1.3782735022677224,14.702563772245911,,,,6,False,10.7,,,n/d,n/d,,,Fundo duplo,False,False,,,Em Alta,8.880000114440918,0.33783482640281637,-41.726619557608636,False,True,False,Fundo duplo — rompeu pescoço ~R$8.38 (candidato)
