ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
LOGG3,SMALL11,SMALL11,Real Estate,56.5,51.77,83.33333333333333,,53.26,45.61,37.02,89.93,55,Não,3,7,False,,True,,True,True,True,True,False,5,6,False,False,False,True,True,,True,False,True,,True,2211085056.0,5.94,0.63,27.49,13.22,10.63,3.04,149.65,,0.45,0.63,2.6,25.290000915527344,23.88,29.18,37.17,62.01,66.0,43.65,37.17,33.45,5.0,32.27,72.59,2026-11-05,2026-06-12,última,,,Em Baixa,26.549999237060547,-4.745756526329381,-11.881532253530358,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.7%))
CPFE3,BOVA11,BOVA11,Utilities,56.33,54.51,66.66666666666667,,75.51,31.22,22.33,82.55,56,Não,6,7,False,,True,,False,True,False,True,True,4,6,True,True,True,False,True,,True,True,True,,True,52830867456.0,9.17,2.17,8.14,10.17,23.72,15.33,12.79,,1.15,1.43,5.71,45.849998474121094,33.29,38.22,40.99,48.75,58.87,44.03,40.99,36.89,5.0,-19.53,-3.98,2026-08-13,2026-04-30,última,,,Em Alta,47.189998626708984,-2.839585063750072,-13.477241762565594,True,False,False,sem sinal (Em Alta; sem novo topo (-2.8%))
CMIN3,BOVA11,BOVA11,Basic Materials,56.02,60.02,33.333333333333336,,82.65,29.71,30.02,93.96,57,Não,5,7,False,,True,,False,True,False,False,False,2,6,True,True,True,False,False,,True,True,True,,True,31064004608.0,14.01,4.41,18.95,16.62,31.49,21.67,12.51,,1.37,1.31,,5.75,6.83,9.94,4.27,3.47,,6.13,5.55,4.99,4.0,-13.18,6.53,n/d,2026-04-17,última,,,Em Alta,5.980000019073486,-3.846154152840986,-9.773695814269058,True,False,False,sem sinal (Em Alta; sem novo topo (-3.8%))
ITUB4,BOVA11,BOVA11,Financial Services,55.84,51.57,80.0,,59.13,32.56,,65.1,58,Não,4,6,False,,True,,False,True,,True,True,4,5,True,True,False,,True,,True,False,True,,True,461044940800.0,9.9,2.22,8.29,7.15,22.45,0.0,32.58,,,,1.51,41.83000183105469,21.38,39.65,55.98,42.32,57.9,39.0,39.65,35.69,3.0,-14.69,-6.76,n/d,2026-09-01,próxima,,,Lateral,43.16999816894531,-3.103999061215068,-14.105028652709272,True,False,False,sem sinal (Lateral; sem novo topo (-3.1%))
MDIA3,SMALL11,SMALL11,Consumer Defensive,55.68,53.74,66.66666666666667,,39.31,60.91,88.0,32.21,59,Não,1,7,False,,True,,False,False,True,True,True,4,6,False,False,False,False,False,,True,False,True,,True,5832241664.0,8.46,0.7,6.08,3.22,8.33,9.09,6.67,,2.65,0.21,1.4,17.3799991607666,4.0,7.42,27.22,33.88,19.07,26.72,27.22,24.5,3.0,40.96,53.75,2026-08-13,2026-07-24,última,,,Em Baixa,18.008699417114258,-3.4910919538708174,-40.00256265320631,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.5%))
BBDC4,BOVA11,BOVA11,Financial Services,54.91,54.01,60.0,,51.57,51.8,,70.47,60,Não,2,6,False,,True,,False,True,,False,True,3,5,True,False,False,,False,,True,False,True,,True,192782647296.0,7.57,1.07,8.79,8.32,14.13,0.0,25.36,,,,1.45,17.700000762939453,10.52,17.67,28.04,29.5,31.68,18.75,17.67,15.9,3.0,-10.15,5.91,n/d,2026-09-02,próxima,,,Em Alta,18.95059585571289,-6.59923889620827,-16.662657842015392,True,False,False,sem sinal (Em Alta; sem novo topo (-6.6%))
SEER3,SMALL11,SMALL11,Consumer Defensive,54.8,58.58,33.333333333333336,,69.07,70.71,38.72,20.81,61,Não,4,7,False,,False,,False,True,False,True,False,2,6,True,True,True,False,False,,True,False,True,,True,1556972160.0,6.34,1.1,3.93,2.4,17.4,16.63,10.92,,1.56,1.16,0.43,12.15999984741211,2.09,3.87,25.41,21.84,32.9,26.72,25.41,22.87,3.0,88.09,119.71,n/d,2026-04-07,última,,,Em Alta,12.350000381469727,-1.538465815294221,-13.941969222034611,True,False,False,sem sinal (Em Alta; sem novo topo (-1.5%))
SAPR11,SMALL11,SMALL11,Utilities,54.47,55.26,50.0,,58.6,56.67,43.76,59.73,62,Não,4,7,False,,True,,False,False,True,False,True,3,6,False,False,True,True,False,,True,True,True,,True,10527053824.0,8.6,0.83,1.59,6.34,9.64,11.81,16.66,,1.08,0.57,1.96,34.83000183105469,15.77,23.97,43.97,61.84,43.43,43.3,43.7,39.33,4.0,12.92,24.32,n/d,2026-01-02,última,,,Em Baixa,37.22999954223633,-6.44640811359376,-28.50985024964656,True,False,False,sem sinal (Em Baixa; sem novo topo (-6.4%))
CPLE3,BOVA11,BOVA11,Utilities,53.81,48.6,83.33333333333333,,53.22,38.58,37.14,75.84,63,Não,4,7,False,,True,,False,True,True,True,True,5,6,False,True,True,False,True,,True,False,True,,True,44247195648.0,14.18,1.84,7.13,9.17,12.99,9.82,11.41,,1.3,0.98,0.17,14.899999618530273,9.75,18.1,13.92,13.84,31.52,17.43,13.92,12.53,5.0,-15.9,16.96,2026-08-05,2026-04-30,última,,,Em Baixa,14.949999809265137,-0.3344494406205656,-11.686944076615136,True,False,False,sem sinal (Em Baixa; sem novo topo (-0.3%))
FLRY3,BOVA11+SMALL11,BOVA11,Healthcare,53.46,51.13,66.66666666666667,,57.72,31.06,59.13,55.7,64,Não,4,7,False,,True,,False,True,False,True,True,4,6,False,True,True,False,False,,True,True,True,,True,9388425216.0,13.42,1.74,6.25,6.05,13.0,12.7,7.47,,2.14,1.02,5.5,17.270000457763672,7.47,9.26,11.4,16.95,10.93,11.2,10.93,9.84,5.0,-43.04,-35.13,2026-11-05,2025-12-03,última,,,Em Alta,17.489999771118164,-1.257857725749001,-4.585634840957164,True,False,False,sem sinal (Em Alta; sem novo topo (-1.3%))
SUZB3,BOVA11,BOVA11,Basic Materials,53.06,59.48,16.666666666666668,,65.63,64.28,54.28,30.2,65,Não,5,7,False,,False,,False,True,False,False,False,1,6,True,True,False,True,False,,True,True,True,,True,51811409920.0,4.67,1.1,0.01,3.06,23.68,6.83,22.96,,3.52,2.02,0.31,41.970001220703125,9.18,17.03,119.08,87.84,162.34,123.08,119.08,107.17,3.0,155.35,193.27,2026-08-12,2026-04-30,última,,,Em Alta,43.31999969482422,-3.1163399899155286,-29.63241846027842,True,False,False,sem sinal (Em Alta; sem novo topo (-3.1%))
VIVT3,BOVA11,BOVA11,Communication Services,52.94,44.63,100.0,,45.87,33.13,48.0,61.07,66,Não,5,7,False,,True,,True,True,True,True,True,6,6,False,True,True,False,True,,True,True,True,,True,98712272896.0,15.1,1.52,8.05,6.43,10.05,9.1,10.68,,0.95,0.3,52.22,30.889999389648438,14.19,14.53,14.96,30.58,13.75,17.6,14.53,13.08,5.0,-57.66,-43.01,2026-07-27,2026-07-28,última,,,Em Baixa,35.95353698730469,-14.08355900963013,-25.073212864548488,True,False,False,sem sinal (Em Baixa; sem novo topo (-14.1%))
SMTO3,SMALL11,SMALL11,Basic Materials,52.62,53.08,50.0,,46.3,74.17,51.76,33.56,67,Não,2,7,False,,True,,False,True,False,True,False,3,6,False,True,False,False,False,,True,False,True,,True,4741539328.0,5.84,0.66,1.47,3.4,11.35,6.93,11.25,,2.62,1.61,0.64,14.6899995803833,3.57,6.62,33.33,35.49,31.43,33.42,33.33,30.0,3.0,104.2,127.49,2026-08-10,2026-07-06,última,,,Em Baixa,16.049999237060547,-8.473518512928734,-31.346039516814006,True,False,False,sem sinal (Em Baixa; sem novo topo (-8.5%))
MOTV3,BOVA11,BOVA11,Industrials,52.45,52.89,50.0,,73.48,48.66,29.21,18.12,68,Não,5,7,False,,True,,False,True,False,True,False,3,6,True,True,False,True,False,,True,True,True,,True,29425512448.0,7.63,1.67,1.42,2.26,21.85,11.72,19.27,,1.77,2.45,0.51,14.640000343322754,2.36,4.38,25.42,19.45,33.11,26.0,25.42,22.88,3.0,56.29,77.58,2026-10-29,2026-04-22,última,,,Lateral,14.970000267028809,-2.204408268668334,-17.507289550261596,True,False,False,sem sinal (Lateral; sem novo topo (-2.2%))
GGBR4,BOVA11,BOVA11,Basic Materials,52.27,52.67,50.0,,34.78,52.17,88.69,62.42,69,Não,2,7,False,,True,,False,False,True,True,False,3,6,False,False,True,False,False,,True,False,True,,True,50354683904.0,22.68,0.95,2.69,6.78,4.18,10.03,3.22,,2.87,0.28,0.31,25.649999618530273,12.42,23.04,14.99,26.21,33.93,22.12,23.04,20.73,5.0,-19.17,-13.78,n/d,2026-05-14,última,,,Em Alta,26.309999465942383,-2.5085513523725567,-2.98790052787532,True,False,False,sem sinal (Em Alta; sem novo topo (-2.5%))
FESA4,SMALL11,SMALL11,Basic Materials,52.22,55.55,33.333333333333336,,29.6,66.4,93.61,69.13,70,Não,1,7,False,,True,,False,False,True,False,False,2,6,False,False,False,False,False,,True,False,True,,True,1931545216.0,12.45,0.61,12.32,8.28,4.93,4.41,7.06,,3.27,0.12,,5.699999809265137,3.37,4.91,4.76,9.81,,5.71,4.83,4.35,4.0,-23.66,0.23,n/d,2025-11-06,última,,,Lateral,6.159999847412109,-7.467533271777993,-35.955055577784144,True,False,False,sem sinal (Lateral; sem novo topo (-7.5%))
BPAC11,BOVA11,BOVA11,Financial Services,52.11,47.19,80.0,,60.02,32.77,,25.5,71,Não,4,6,False,,True,,False,True,,True,True,4,5,True,True,False,,True,,True,False,True,,True,189369270272.0,12.63,2.93,2.19,2.64,23.23,0.0,38.77,,,,0.84,56.20000076293945,10.59,19.65,58.96,43.82,78.49,15.12,15.12,13.61,2.0,-75.78,-73.09,n/d,2025-12-30,última,,,Em Alta,57.119998931884766,-1.6106410821933093,-14.198472117649686,True,False,False,sem sinal (Em Alta; sem novo topo (-1.6%))
GOAU4,BOVA11+SMALL11,BOVA11,Basic Materials,51.1,51.3,50.0,,31.44,49.65,89.45,68.46,72,Não,2,7,False,,True,,False,False,True,True,False,3,6,False,False,True,False,False,,True,False,True,,True,14812016640.0,18.65,0.77,2.97,8.27,4.13,10.0,1.14,,2.88,0.28,9.32,11.199999809265137,6.61,7.87,5.1,14.02,6.17,7.95,6.61,5.95,5.0,-46.86,-28.98,n/d,2026-08-20,próxima,,,Em Alta,11.529999732971191,-2.8620982770917736,-3.1141920180267513,True,False,False,sem sinal (Em Alta; sem novo topo (-2.9%))
