ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,ev_ebitda,div_liq_ebitda,liq_corr,div_patrim,peg,payout,cresc_5a,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VLID3,SMALL11,SMALL11,Bens Industriais,66.92,68.64,57.142857142857146,,,0.7,,64.63,75.1,67.79,72.22,20,Não,4,8,False,,True,,False,False,True,True,False,True,4,7,True,False,True,False,False,True,True,False,True,0.13,True,1339521536.0,6.05,0.8,10.09,8.3,13.18,15.68,11.15,3.16,0.45,2.3,0.41,0.92,50.21,-32.9,17.030000686645508,9.422651334137566,16.646684023643033,33.152985726068394,36.71835731183949,41.83343138051769,32.08786461051715,34.93567151895394,31.442104367058544,4,True,4.4,84.62773399483561,88.4196319244992,2026-11-04,2026-08-12,próxima,,,False,False,,,Lateral,18.65999984741211,-8.73525816771462,-26.2084771073389,True,False,False,sem sinal (Lateral; sem novo topo (-8.7%))
LAVV3,SMALL11,SMALL11,Imobiliário,66.24,65.33,71.42857142857143,,,0.8,,66.53,57.36,58.06,94.44,21,Não,5,8,False,,True,,True,False,True,True,False,True,5,7,True,True,False,True,False,True,True,False,True,0.36,True,1876169856.0,5.2,1.29,26.8,13.99,24.9,8.69,19.91,6.7,1.46,3.93,0.85,0.77,72.77,-30.3,9.600000381469727,8.95623643199429,15.82268436318991,21.743590607602375,17.581907156840348,38.352986922368736,20.491481096399134,17.581907156840348,15.823716441156314,5,True,4.3,64.83037304560773,113.45291960563402,n/d,2026-02-03,última,,,False,False,,,Em Baixa,10.720000267028809,-10.447759866236506,-49.420439341387876,True,False,False,sem sinal (Em Baixa; sem novo topo (-10.4%))
LREN3,BOVA11+SMALL11,BOVA11,Consumo discricionário,65.97,65.01,71.42857142857143,,,0.9,,69.77,67.55,59.35,48.61,22,Não,6,8,False,,True,,False,False,True,True,True,True,5,7,True,True,True,False,False,True,True,True,True,0.29,True,11650752512.0,8.17,1.18,7.52,4.35,14.41,23.53,9.37,2.22,0.44,1.78,0.28,0.88,35.58,23.2,12.119999885559082,3.5187543806295736,6.21646607244558,17.472052058605506,18.515772790822393,20.23148462907823,18.739769826168708,18.515772790822393,16.664195511740154,3,True,5.7,37.49336360634341,54.61856438214201,2026-11-05,2026-06-24,última,,,False,False,,,Em Baixa,13.899999618530273,-12.805753826052268,-30.02871042054396,True,False,False,sem sinal (Em Baixa; sem novo topo (-12.8%))
GRND3,SMALL11,SMALL11,Consumo discricionário,64.54,65.84,57.142857142857146,,,0.9,,62.97,55.98,67.53,100.0,23,Não,5,8,False,,True,,False,False,True,True,False,True,4,7,True,True,False,True,False,True,True,False,True,-0.29,True,3121473536.0,5.39,0.97,44.44,19.55,18.04,7.81,24.95,8.22,-3.59,2.05,0.02,,105.38,-24.5,3.4600000381469727,4.509815352152049,6.395738135779271,6.069151694506413,7.177729920315886,,6.038108775688405,6.2324449151428425,5.609200423628558,4,True,1.6,62.11561739266931,74.51181240223792,2026-11-05,2026-04-24,última,,,False,False,,,Em Baixa,3.809999942779541,-9.186349340919675,-30.413383648246693,True,False,False,sem sinal (Em Baixa; sem novo topo (-9.2%))
ABCB4,SMALL11,SMALL11,Produtos financeiros,63.95,66.41,50.0,16.87,,0.4,,53.24,69.11,83.86,84.03,24,Não,1,6,False,,True,,False,False,True,,False,True,3,6,False,False,False,,False,,True,False,True,,True,6066253312.0,6.02,0.85,11.07,10.04,14.05,0.0,40.92,,,,,1.08,60.46,-2.9,23.530000686645508,15.755241834169658,26.411278957061903,43.681601050582756,49.34072088800109,60.96943865839348,28.616040613938107,26.411278957061903,23.770151061355712,3,True,2.8,1.0206135473956879,21.61512868199442,n/d,2026-06-30,última,,,False,False,,,Em Baixa,24.15999984741211,-2.607612436860518,-13.899053673174034,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.6%))
VIVA3,BOVA11+SMALL11,BOVA11,Consumo discricionário,63.95,62.63,71.42857142857143,,,0.9,,76.52,52.63,66.49,17.36,25,Não,6,8,False,,True,,False,False,True,True,True,True,5,7,True,True,True,True,False,True,True,False,True,0.33,True,5088322560.0,8.72,1.61,3.22,1.97,18.4,17.32,18.56,5.76,0.97,4.19,0.38,0.58,17.17,9.5,21.6299991607666,2.8399285990842027,5.017207191715425,29.214830670760186,27.38271972069708,42.092765641945185,,,,3,False,14.8,,,n/d,2025-12-22,última,,,False,False,,,Em Baixa,22.84000015258789,-5.29772759955166,-39.73503176095192,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.3%))
MULT3,BOVA11+SMALL11,BOVA11,Imobiliário,63.0,61.51,71.42857142857143,,,0.8,,87.53,38.66,42.83,38.89,26,Não,7,8,False,,True,,False,False,True,True,True,True,5,7,True,True,True,True,True,True,True,False,True,0.82,True,13764036608.0,10.38,2.13,4.01,3.71,20.52,18.7,43.42,7.68,2.13,1.64,0.75,0.82,38.47,62.0,27.790000915527344,6.865946311614142,12.129838483851652,31.5322211201659,28.034404907340587,43.725963443683376,28.85560698876038,29.783313013753244,26.80498171237792,4,True,6.4,-3.544509430365139,3.8344945596516355,2026-10-29,2026-07-01,última,,,False,False,,,Em Baixa,29.06999969482422,-4.4031606217208585,-21.226054091124226,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.4%))
DIRR3,BOVA11+SMALL11,BOVA11,Consumo discricionário,62.99,64.02,57.142857142857146,,,0.9,,73.0,45.18,54.26,90.28,27,Não,5,8,False,,True,,False,False,True,False,True,True,4,7,True,True,False,True,False,True,True,False,True,0.46,True,5886442496.0,7.03,2.77,13.69,12.12,39.35,10.1,18.16,5.4,0.77,4.26,1.3,1.21,85.21,29.0,11.319999694824219,9.146740261741705,15.81871524461861,18.565416328373118,12.16802594771979,28.890895038562984,16.91795856420324,15.81871524461861,14.23684372015675,5,True,3.2,25.767174063318965,49.45193480825396,n/d,2025-12-17,última,,,False,False,,,Em Baixa,11.84000015258789,-4.391895701538607,-34.406758943578396,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.4%))
KEPL3,SMALL11,SMALL11,Bens Industriais,62.96,66.51,42.857142857142854,,,0.7,,67.94,52.64,65.6,96.53,28,Não,6,8,False,,True,,False,False,True,True,False,False,3,7,True,True,True,False,False,True,True,True,True,-0.05,True,1043011008.0,7.32,1.37,7.19,16.55,18.67,13.9,10.19,5.76,-0.2,2.02,0.42,,121.11,-33.0,6.110000133514404,6.739480290641239,9.557808412182123,7.891704096938625,9.152013555004352,,8.335251588691584,8.521858825971488,7.66967294337434,4,True,1.4,25.526559341707067,36.4198266211369,n/d,2025-12-16,última,,,False,False,,,Em Baixa,6.489999771118164,-5.855156409940665,-41.80952253795805,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.9%))
ALPA4,SMALL11,SMALL11,Consumo discricionário,61.74,62.55,57.142857142857146,,,0.9,,75.3,41.57,53.87,75.0,31,Não,5,8,False,,False,,False,False,True,True,True,True,4,7,True,True,True,False,False,True,True,False,True,0.28,True,8809256960.0,12.64,2.45,13.84,8.77,19.37,17.96,13.17,8.09,0.84,1.73,0.41,0.29,110.88,43.9,12.970000267028809,7.584928842786205,13.400040955588961,12.085267478068335,11.055405201638498,30.783228481872168,11.0314106195205,11.570336339853416,10.413302705868075,4,True,4.1,-19.712394051834714,-14.946720181929528,n/d,2025-12-17,última,,,False,False,,,Em Alta,13.529999732971191,-4.138946614889594,-20.03698633729193,True,False,False,sem sinal (Em Alta; sem novo topo (-4.1%))
