ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,ev_ebitda,div_liq_ebitda,liq_corr,div_patrim,peg,payout,cresc_5a,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
RENT3,BOVA11+Wishlist,BOVA11,Bens Industriais,44.61,42.4,57.142857142857146,,,0.7,,54.38,44.04,16.2,36.81,91,Não,1,8,False,,True,,False,False,True,False,True,True,4,7,False,False,False,False,False,False,True,False,False,5.34,False,40097521664.0,11.92,1.51,5.65,3.46,12.63,12.27,5.13,5.11,3.98,1.23,1.66,1.61,41.21,39.4,36.29999923706055,8.366651766098215,14.781084786773514,35.866889626476684,40.58553484942472,33.140046589491696,31.093388963041654,34.50346810798419,31.053121297185772,4,True,4.9,-14.454209504549976,-14.343279293249111,2026-11-05,2026-06-29,última,"A Localiza (RENT3) apresenta um momento de tese pressionada sob a ótica fundamentalista, refletido em um score de qualidade de 54,0 e de segurança de apenas 18,0. A rentabilidade da companhia, medida pelo ROE de 12,6% e ROIC de 12,3%, posiciona-se ligeiramente abaixo dos pares do setor de bens industriais, que registram médias de 15,5% e 12,7%, respectivamente. Essa qualidade operacional moderada convive com múltiplos de preço que não parecem excessivamente descontados, dado que o P/L de 11,92 e o P/VP de 1,51 sugerem que o mercado ainda precifica algum prêmio, apesar de o PEG de 1,61 sinalizar que o crescimento futuro pode não justificar plenamente o valuation atual. No âmbito financeiro, a rentabilidade esbarra em um endividamento relevante, com uma relação dívida/patrimônio de 1,66 e liquidez corrente de 1,23, indicando que a alavancagem consome parte do potencial de geração de valor. O dividend yield de 5,65% mostra-se razoável, mas sua sustentabilidade de longo prazo exige cautela, pois o fluxo de proventos precisa coexistir com a necessidade de amortização dessa dívida e com uma margem líquida apertada de 5,13%. Quanto à expansão, o CAGR de receita de cinco anos de 39,4% é robusto em termos absolutos, porém situa-se bem abaixo da média setorial de 115,3%, o que ajuda a explicar por que a empresa atendeu a apenas 1 dos 7 critérios do checklist rigoroso de investimentos. A análise do preço-teto revela uma dispersão acentuada entre as metodologias de valuation, variando desde os conservadores R$ 8,37 por Bazin e R$ 14,78 por Gordon, passando por R$ 33,14 de Lynch e R$ 35,87 de fluxo de caixa descontado, até o teto máximo de R$ 40,59 por Graham. Diante do preço atual de R$ 36,30, a média dos métodos aponta para R$ 31,09 e o preço-teto ajustado com margem de segurança fica em R$ 31,05, o que resulta em um upside negativo de 14,5% frente ao valor de tela e corrobora a tendência gráfica de baixa do papel. Como prós, destacam-se a forte presença de mercado com valor de mercado superior a R$ 40 bilhões e o crescimento histórico de receita ainda expressivo; como contras, pesam a rentabilidade abaixo da média do setor, o elevado endividamento, o fraco desempenho no checklist de critérios e o valuation atual sem margem de segurança perante a média dos modelos teóricos.",,True,False,,,Em Baixa,39.20000076293945,-7.397962932237057,-31.103343759816227,False,False,False,sem sinal (Em Baixa; sem novo topo (-7.4%))
MOVI3,SMALL11,SMALL11,Bens Industriais,44.35,47.13,28.571428571428573,,,0.7,,49.05,70.66,9.19,55.56,92,Não,3,8,False,,False,,False,False,True,False,True,False,2,7,False,False,True,False,False,False,True,True,False,14.0,False,3011013632.0,6.93,0.77,8.73,5.82,11.08,13.78,2.45,3.59,3.4,0.85,8.06,1.05,40.35,65.6,7.449999809265137,2.891687081579489,5.108647177457097,12.661535670708748,15.29803114616742,13.364478424000755,11.608173104583503,13.013007047354751,11.711706342619276,4,True,5.3,57.20411600620581,55.81440807752889,n/d,n/d,,,,False,False,,,Em Baixa,8.609999656677246,-13.472704920638456,-50.23380309702703,False,False,False,sem sinal (Em Baixa; sem novo topo (-13.5%))
ASAI3,BOVA11+SMALL11,BOVA11,Bens de primeira necessidade,44.05,44.26,42.857142857142854,,,0.0,,58.87,58.04,11.06,10.42,93,Não,5,8,False,,True,,False,False,True,False,True,False,3,7,True,True,True,False,True,False,True,False,False,,True,10794777600.0,11.31,1.72,1.29,0.83,15.21,21.18,0.9,2.68,4.04,1.1,4.6,0.82,9.4,174.9,8.0600004196167,0.44669195574946874,0.7891557884907282,8.393359313089402,8.668237411402613,10.412612861632391,,,,3,False,23.3,,,n/d,n/d,,,,False,False,,,Em Baixa,8.829999923706055,-8.720266259823228,-24.089017536203215,False,False,False,sem sinal (Em Baixa; sem novo topo (-8.7%))
USIM5,BOVA11+SMALL11,BOVA11,Materiais,43.69,46.36,28.571428571428573,,,1.0,P/L=-3.87<2,10.27,86.43,70.44,60.42,94,Não,4,8,False,,False,,False,False,False,True,True,False,2,7,False,False,False,False,True,True,True,True,True,-0.02,True,8813549568.0,-3.87,0.43,0.0,6.2,-11.18,4.67,-9.36,3.58,-0.18,4.44,0.27,,,301.7,7.159999847412109,2.9609342366678773,5.230983818113249,,,,4.095959027390563,4.095959027390563,3.686363124651507,2,True,1.8,-48.514480402064585,-42.793867113405106,n/d,n/d,,,,False,False,,,Em Baixa,8.6899995803833,-17.606441966061702,-41.21510945800607,False,False,False,sem sinal (Em Baixa; sem novo topo (-17.6%))
RANI3,SMALL11,SMALL11,Materiais,43.42,48.56,14.285714285714286,,,1.0,,50.37,43.98,36.32,76.39,95,Não,3,8,False,,True,,False,False,False,False,False,False,1,7,False,False,True,False,False,True,True,False,True,1.16,True,1843766912.0,14.28,1.29,5.02,8.92,9.03,11.69,7.65,5.11,2.42,2.1,1.38,,127.45,-70.2,8.22559642791748,4.8941154699762075,6.940745575602623,5.446027683367826,9.090749654379003,,6.592909595831415,6.193386629485225,5.574047966536702,4,True,1.9,-32.235333748948406,-19.848856510207145,n/d,n/d,,,,False,False,,,Em Alta,8.384929656982422,-1.9002333422351247,-15.229728984008961,False,False,False,sem sinal (Em Alta; sem novo topo (-1.9%))
IRBR3,SMALL11+Carteira,SMALL11,Insurance,43.39,51.05,0.0,,2.87,0.3,,21.35,73.81,100.0,29.86,96,Não,1,6,False,,False,,False,,False,,False,False,0,5,False,False,False,,False,,True,False,True,,True,4147725568.0,-103.18,0.79,3.09,2.93,-0.76,0.0,6.77,,,,,,,-30.0,51.099998474121094,9.968757213739117,14.137510230393659,,,,12.053133722066388,12.053133722066388,10.847820349859749,2,True,1.4,-78.77138811392825,-76.41265345992029,2026-08-13,2026-07-01,última,"A análise fundamentalista do IRB Brasil (IRBR3) revela uma companhia em momento de profunda reestruturação, onde a desconexão entre qualidade e preço fica evidente pelo ROE negativo de -0,8% e ROIC nulo de 0,0%, ambos severamente abaixo das médias setoriais de 34,8% e 19,5%, respectivamente, convivendo com um P/L também negativo de -103,18 e um P/VP descontado de 0,79. Essa baixa rentabilidade operacional, que não atinge a taxa Selic e falha em superar os pares, é acompanhada por um encolhimento histórico de receita, visto que o CAGR de cinco anos de -30,0% está muito abaixo da média de retração do setor de -4,2%. No que tange aos proventos, o dividend yield de 3,09% mostra-se pouco sustentável no longo prazo diante da ausência de lucros consistentes e da deterioração operacional, embora a empresa apresente uma pontuação máxima de segurança financeira que mitiga riscos imediatos de endividamento. O rigoroso checklist de critérios reforça esse cenário desafiador ao aprovar apenas um dos seis requisitos analisados, refletindo a falta de sinal gráfico favorável e uma tendência de baixa para o papel. Sob a ótica do valuation, os modelos teóricos de Bazin e Gordon calculam preços-teto de R$ 9,97 e R$ 14,14, respectivamente, gerando uma média e mediana de R$ 12,06 que, quando ajustada pela margem de segurança para R$ 10,85, aponta para uma expressiva dispersão negativa e um upside de -78,8% em relação à cotação atual de R$ 51,10. Como prós, destacam-se a robustez do balanço refletida no score máximo de segurança e o desconto patrimonial medido pelo P/VP; em contrapartida, pesam negativamente a destruição de valor operacional, o encolhimento acelerado das receitas frente aos concorrentes e o valuation severamente esticado perante as fórmulas clássicas de dividendos.",,False,True,57.62,-11.32,Em Baixa,56.79999923706055,-10.035212745602207,-21.049334736674997,False,False,False,sem sinal (Em Baixa; sem novo topo (-10.0%))
SYNE3,SMALL11,SMALL11,Imobiliário,43.33,45.93,28.571428571428573,,,0.8,DY5a=129.9%>=20,46.28,57.84,30.26,,97,Não,2,8,False,,False,,False,False,False,True,True,False,2,7,False,False,False,True,False,False,False,True,False,1.54,False,605998464.0,9.24,0.87,65.02,129.91,9.47,5.96,20.02,5.37,3.43,0.98,0.5,0.98,1200.32,5.2,3.9700000286102295,34.38157734514544,60.74078664309028,5.060365596833626,6.641805554286468,12.889610482500744,,,,2,False,12.0,,,n/d,n/d,,,,False,False,,,Em Baixa,4.090000152587891,-2.933988251852082,-23.866723897760355,False,False,False,sem sinal (Em Baixa; sem novo topo (-2.9%))
BRAP4,BOVA11+SMALL11,BOVA11,Basic Materials,42.95,40.44,57.142857142857146,,,1.0,DY5a=24.1%>=20,18.9,51.57,75.0,,98,Não,5,7,False,,True,,False,False,True,True,True,False,4,7,False,True,True,False,True,,True,True,True,,True,8510541312.0,10.88,1.09,10.89,24.12,10.0,-0.47,0.0,-230.07,,5.99,0.0,1.09,262.4,73.9,21.649999618530273,34.809830722268565,61.49736760934113,23.436478345222724,29.82094868658763,59.69669012462391,41.8522630976088,34.809830722268565,31.32884765004171,5,True,2.6,44.705996314324615,93.31299692858825,n/d,n/d,,,,False,False,,,Lateral,22.0,-1.5909108248623904,-15.528676053679924,False,False,False,sem sinal (Lateral; sem novo topo (-1.6%))
VAMO3,BOVA11+SMALL11,BOVA11,Bens Industriais,42.92,45.45,28.571428571428573,,,0.7,,56.29,49.81,23.73,29.17,99,Não,4,8,False,,True,,False,False,True,False,False,False,2,7,True,False,True,False,False,False,True,True,False,5.5,False,3555265024.0,11.56,1.37,4.28,2.92,11.81,15.28,5.09,4.08,3.27,1.77,6.47,1.48,33.81,-20.2,2.9100000858306885,0.5673351706600819,1.0022921348328113,2.964821310054335,3.4685268459412097,2.704059912438784,3.04580268947811,2.964821310054335,2.6683391790489015,3,True,6.1,-8.304498269896188,4.6667560014402865,n/d,n/d,,,,False,False,,,Lateral,3.4200000762939453,-14.912280090236552,-41.09311635376722,False,False,False,sem sinal (Lateral; sem novo topo (-14.9%))
TTEN3,SMALL11,SMALL11,Bens de primeira necessidade,42.32,39.7,57.142857142857146,,,0.0,,43.4,50.48,31.83,11.81,100,Não,2,8,False,,True,,False,True,True,False,False,True,4,7,False,True,False,False,False,False,True,False,False,0.5,True,5629955072.0,7.91,1.18,1.62,0.95,14.93,6.69,4.16,11.71,3.5,1.26,1.0,0.57,7.49,-53.7,11.25,0.7102894324557872,1.2548446640052242,16.75094816687737,17.466847805116466,20.990449861127374,,,,3,False,29.6,,,n/d,n/d,,,,False,False,,,Em Baixa,15.300000190734863,-26.470589151936085,-37.15083664943837,False,False,False,sem sinal (Em Baixa; sem novo topo (-26.5%))
