ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,desvio_padrao,momentum_12_1,var_95,sharpe,liquidez_media,preco_p10_1a,preco_p50_1a,preco_p90_1a,g_implicito,teto_dispersao,teto_confiavel,teto_n_metodos,cagr_5a,cagr_3a,cagr_1a,desacelerando,anos_atipicos,beta,corr_ibov,corr_usd,close,div_ge5_5a,divo_qualidade_ok,auvp_ok,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VULC3,SMALL11+DIVO11,SMALL11,Consumo discricionário,77.27,78.07,72.72727272727273,,,0.9,,87.38,64.22,65.5,95.89,False,1,Não,,,False,6,8,False,,True,,False,False,True,True,False,True,8,11,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4290782464.0,4.59,1.61,21.46,15.42,35.06,31.82,17.83,24.89,6.17,0.76,0.59,2.96,0.37,0.45,70.8,-64.7,6.22,11.45,1.64,37.42,62.57,12.98,20.08,5.2,-32.0,-4.2,16.73,16.57,-35.4,26.3,-31.4,12.98,19.91,-47.63,1.66,-20.7,-3.0,-1.28,38128586.0,7.71,10.81,15.16,-6.6,8.6,False,6,,12.0,16.8,False,2025,0.85,0.57,0.15,13.65999984741211,False,False,False,15.323437966493174,28.817949466017804,40.704476318102,23.83541252512024,76.37286249918267,48.514490573266926,27.59517785564706,8.871690492139363,,,,6,False,8.6,,,n/d,2025-12-23,última,,,False,False,,,Lateral,13.949999809265137,-2.078852801563613,-32.47566962059941,True,False,False,sem sinal (Lateral)
JHSF3,SMALL11+DIVO11+AUVP11,SMALL11,Imobiliário,77.25,74.84,90.9090909090909,,,0.8,,86.69,79.73,44.52,69.86,False,2,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$11.74, preço 0.8% abaixo do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,False,True,True,True,True,True,10,11,True,True,True,True,True,True,True,False,True,True,True,0.34,True,7660810752.0,3.66,1.04,6.25,8.08,28.4,16.71,13.12,52.59,4.87,1.22,1.27,1.73,0.86,0.24,29.59,90.2,9.19,7.25,0.72,61.6,36.26,5.16,13.76,125.7,-15.3,7.2,9.4,9.15,-27.9,39.6,57.9,7.38,13.76,41.67,2.5,95.5,-3.79,1.91,49089919.0,15.92,26.38,43.73,-10.7,10.7,False,6,,21.6,116.4,False,2025,1.37,0.6,0.05,11.649999618530273,False,False,True,6.848949081888217,12.880442950776875,43.53604652086052,28.324350364379562,73.47624157210849,19.57807411896471,39.215299262375126,20.751685872317864,,,,6,False,10.7,,,n/d,2026-10-01,próxima,,,False,False,,,Em Alta,12.15999984741211,-4.194080882249141,-17.131882479532155,True,False,False,sem sinal (Em Alta)
MDNE3,SMALL11+DIVO11,SMALL11,Imobiliário,74.84,72.01,90.9090909090909,,,0.8,,72.31,77.75,60.09,80.14,False,3,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,10,11,True,True,True,True,True,True,True,False,True,True,True,0.24,True,2611213312.0,4.51,1.1,16.01,9.33,24.38,16.15,10.98,21.43,4.35,0.91,1.13,2.38,0.48,0.32,42.08,19.5,3.95,6.4,1.12,72.76,27.27,20.62,34.28,22.4,-26.3,-4.3,25.8,26.66,-33.9,45.7,9.8,22.65,34.28,-6.43,2.88,2.3,-5.07,0.13,31689496.0,15.44,27.75,49.89,-6.9,7.7,True,6,,43.4,50.1,False,,1.68,0.64,0.13,25.25,False,False,False,17.132868434337393,32.22084612006033,76.57535226378656,53.77346574119049,131.29626218392798,25.721839247317863,65.82800198348573,49.995240169167275,50.685790920834705,51.88435295517888,46.695917659661,6,True,7.7,84.93432736499406,100.73580562706815,n/d,2026-01-02,última,,,False,False,,,Lateral,26.299999237060547,-3.992392652167631,-26.341887692103615,True,False,False,sem sinal (Lateral)
POMO3,SMALL11+DIVO11,SMALL11,Bens Industriais,74.15,74.4,72.72727272727273,,,0.7,,79.77,75.84,52.5,90.41,False,4,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,8,11,True,True,True,False,False,True,True,False,True,True,True,0.44,True,4990404608.0,4.23,1.2,22.76,12.73,28.32,24.74,18.39,13.19,4.51,1.29,0.96,1.94,0.81,0.32,53.86,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,7.8,-37.9,-19.0,5.47,5.34,-42.4,35.7,-24.2,3.73,6.43,-40.43,2.25,-34.7,-3.6,-1.42,7854151.0,1.64,2.6,4.12,-8.0,6.6,True,6,,18.7,5.4,True,,0.94,0.46,0.05,4.019999980926514,False,False,False,3.722554046194656,7.000803254617691,12.998398474131331,8.463626766561584,24.518917710788312,11.223168979087069,10.532751387293915,5.778045426959455,9.332799048108507,9.49818907692775,8.548370169234975,6,True,6.6,112.64602511925337,132.15918140272032,n/d,2026-08-26,última,,,False,False,,,Lateral,4.340000152587891,-7.373275585498873,-38.454365764073486,True,False,False,sem sinal (Lateral)
PSSA3,BOVA11+AUVP11,BOVA11,Insurance,73.66,72.93,77.77777777777777,,1.8,0.3,,75.94,54.74,100.0,50.68,False,5,Pivô de alta,,,False,4,6,False,,True,,False,False,True,,True,True,7,9,True,False,True,,True,,True,False,True,True,True,,True,31703480320.0,8.62,1.97,6.13,5.33,22.84,17.35,79.28,8.13,,,,,,0.7,45.98,0.3,7.98,6.06,,71.59,28.18,43.07,55.45,14.8,-10.8,-2.3,48.15,48.57,-16.1,25.9,6.8,44.27,55.45,-9.43,1.63,-2.8,-2.69,-0.28,74331318.0,36.57,51.06,71.28,1.9,4.1,True,4,,20.5,17.0,True,2023,0.75,0.51,0.03,49.459999084472656,False,False,True,19.18897251756294,36.08764831528772,78.47855554156277,56.93228530216026,101.39767579999105,48.15391823186924,60.91170965297011,,45.47727365157067,42.12078327357848,37.90870494622064,4,True,4.1,-23.354820768442764,-8.052417118123866,2026-11-05,2026-06-23,última,,Pivô de alta,False,False,,,Lateral,51.65999984741211,-4.258615504137797,-10.963096734886912,True,True,True,Pivô de alta
POMO4,BOVA11+SMALL11+DIVO11+AUVP11+Carteira,BOVA11,Bens Industriais,73.53,73.67,72.72727272727273,,,0.7,,79.77,75.38,52.5,84.25,False,6,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,8,11,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5251097600.0,4.46,1.26,21.59,10.23,28.32,24.74,18.39,13.19,4.69,1.29,0.96,1.94,0.81,0.3,45.62,-14.0,4.46,8.76,1.02,59.93,39.42,3.93,7.69,7.5,-45.0,-19.1,5.76,5.78,-48.9,35.6,-25.0,3.93,6.81,-41.23,2.24,-42.2,-3.6,-1.82,62471165.0,1.5,2.38,3.77,-7.1,7.6,True,7,,18.7,5.4,True,,1.0,0.49,0.05,4.230000019073486,False,False,True,3.146393921481649,5.917250503947747,12.972081643911165,8.464063764282283,23.92666293867152,11.575137762178509,11.684663729817345,5.758399760873578,11.471180014811734,11.575137762178509,10.417623985960658,7,True,7.6,146.27952574436324,171.18628754342922,n/d,2026-08-26,última,,,False,True,4.45,-4.94,Lateral,4.599999904632568,-8.043475939781274,-45.21979236281651,True,False,False,sem sinal (Lateral)
CURY3,BOVA11+SMALL11+DIVO11+AUVP11,BOVA11,Consumo discricionário,73.47,72.0,81.81818181818181,,,0.9,,89.4,47.57,56.92,84.93,False,7,Não,,,False,6,8,False,,True,,False,False,True,True,True,True,9,11,True,True,True,True,False,True,True,False,True,True,True,-0.13,True,8945701888.0,8.15,5.41,16.57,10.4,66.38,57.38,37.72,17.89,5.24,-0.15,-0.06,1.92,0.66,0.81,84.77,8.2,6.13,16.3,0.91,70.61,24.44,26.99,40.16,7.6,-27.7,-6.6,31.65,31.9,-29.9,40.4,-3.2,28.13,40.16,-19.43,2.54,4.1,-3.95,-0.11,108103933.0,17.51,29.36,49.23,1.3,3.5,True,8,,33.7,37.5,False,,1.33,0.57,0.07,29.040000915527344,False,False,True,21.96814867363722,41.31429250558225,48.7352479247322,20.744857114072563,73.07861440936883,54.23601965293755,32.74198121736131,23.836799225257252,39.58199509036864,37.02813686147178,33.325323175324606,8,True,3.5,14.756618886695527,36.301631689014926,n/d,2026-08-17,última,,,False,False,,,Em Baixa,33.65999984741211,-13.72548708505109,-27.848115258035634,True,False,False,sem sinal (Em Baixa; sem novo topo (-13.7%))
MILS3,SMALL11,SMALL11,Bens Industriais,70.85,68.91,81.81818181818181,,,0.7,,84.31,56.4,57.62,53.42,False,8,Não,,,False,6,8,False,,True,,False,True,True,True,True,True,9,11,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3621027840.0,8.3,1.98,5.33,5.69,23.81,18.37,20.65,23.53,4.91,1.28,0.85,2.98,0.99,0.66,47.21,21.3,8.53,11.12,0.54,61.6,38.32,10.3,15.91,54.3,-0.1,5.4,13.04,13.37,-15.0,26.7,25.6,12.01,15.91,9.37,1.68,47.0,-1.9,1.12,11215554.0,16.99,23.76,33.22,1.5,5.3,True,7,,18.9,16.7,True,,0.7,0.45,0.07,15.890000343322754,False,False,False,6.573515961115859,12.362450984937245,26.184843161946546,18.592745486024956,34.952233160495524,11.996575656253041,20.607243737900063,20.30732482898763,20.71477385950643,20.30732482898763,18.276592346088865,7,True,5.3,15.01945847200059,30.363583460909904,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.90999984741211,-0.12570398668236837,-0.6874978542327881,True,False,False,sem sinal (Em Alta)
PETR4,BOVA11+DIVO11+AUVP11,BOVA11,Energia,70.69,73.54,54.54545454545455,,,0.9,DY5a=41.0%>=20,85.74,80.98,36.8,,False,9,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$50.48, preço 4.9% abaixo do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,True,False,True,True,True,False,6,11,True,True,True,True,True,True,True,False,True,True,True,0.61,True,655847325696.0,4.69,1.3,7.52,40.99,27.73,30.77,19.69,24.32,2.91,1.29,0.9,0.85,0.76,0.31,192.25,96.8,4.86,10.07,0.28,65.87,33.99,26.84,50.43,78.8,-4.8,14.8,37.77,36.9,-22.2,26.5,66.2,27.87,50.43,49.97,1.67,49.5,-2.6,1.56,2114472393.0,57.24,80.33,112.75,-6.2,5.6,True,8,,-10.5,-2.4,False,,0.37,0.24,-0.04,48.0,True,True,True,143.0991361297021,269.1186979471494,139.98211706444732,92.20923074120896,307.03624733475476,55.87236666666667,126.08955223880596,54.50616692766317,148.4891893812998,133.03583465162666,119.732251186464,8,True,5.6,149.44218997180002,209.3524778777079,n/d,2026-08-24,última,,,False,False,,,Em Alta,50.43000030517578,-4.818560956713657,-5.325445211655877,True,False,False,sem sinal (Em Alta)
PETR3,BOVA11+DIVO11+AUVP11,BOVA11,Energia,69.98,72.7,54.54545454545455,,,0.9,DY5a=38.8%>=20,85.74,77.94,36.8,,False,11,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$56.22, preço 5.9% abaixo do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,True,False,True,True,True,False,6,11,True,True,True,True,True,True,True,False,True,True,True,0.65,True,681556180992.0,5.16,1.43,6.82,38.84,27.73,30.77,19.69,24.32,3.11,1.29,0.9,0.85,0.76,0.34,200.4,96.8,3.58,10.07,0.28,65.87,33.99,28.69,56.23,84.3,-6.0,13.2,41.97,40.57,-22.9,29.6,73.0,29.47,56.23,56.77,1.86,52.8,-2.95,1.45,550851567.0,61.1,89.23,130.31,-4.7,5.8,True,8,,-10.5,-2.4,False,,0.4,0.24,-0.04,52.880001068115234,True,True,True,149.3607895196718,280.8946460966731,140.16704459165325,92.33999458758176,307.4418666750886,55.87236666666667,126.25612658123637,53.460119682936195,150.72411930018848,133.2115855864448,119.89042702780033,8,True,5.8,126.721680420105,185.03047703429374,2026-11-10,2026-08-24,última,,,False,False,,,Em Alta,56.22999954223633,-5.957671174449841,-6.654899128363578,True,False,False,sem sinal (Em Alta)
