ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VIVA3,BOVA11+SMALL11,BOVA11,Consumo discricionário,64.61,63.41,71.42857142857143,,,0.9,,76.52,53.05,69.86,17.36,24,Não,5,7,False,,True,,False,False,True,True,True,True,5,7,True,True,True,True,False,,True,False,True,,True,5088322560.0,8.72,1.6,3.23,1.97,18.4,17.32,18.56,,4.19,0.38,0.58,21.639999389648438,3.044187411696903,5.646967648697755,32.88187980651855,27.48085682440235,42.11222644592698,,,,3,False,13.8,,,n/d,2025-12-22,última,,,False,False,,,Em Baixa,22.84000015258789,-5.253943760606705,-39.70716937078409,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.3%))
ABCB4,SMALL11,SMALL11,Produtos financeiros,63.91,66.37,50.0,16.87,,0.4,,53.24,68.97,83.86,84.03,25,Não,2,6,False,,True,,False,False,True,,False,True,3,6,True,False,False,,False,,True,False,True,,True,6066253312.0,6.01,0.84,11.08,10.04,14.05,0.0,40.92,,,,1.08,23.540000915527344,16.88808764420765,29.604624930250296,49.04368075809461,49.69593378818887,61.152219770576714,31.845464444184188,29.604624930250296,26.644162437225265,3,True,2.9,13.186751915758709,35.282341570252164,n/d,2026-06-30,última,,,False,False,,,Em Baixa,24.15999984741211,-2.5662207607636933,-13.862460849328539,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.6%))
GRND3,SMALL11,SMALL11,Consumo discricionário,63.82,65.0,57.142857142857146,,,0.9,,63.19,55.74,63.14,100.0,26,Não,4,7,False,,True,,False,False,True,True,False,True,4,7,True,True,False,True,False,,True,False,True,,True,3121473536.0,5.54,1.0,43.19,19.55,18.04,7.81,24.95,,2.05,0.02,,3.4600000381469727,4.831944989832078,7.035311905195505,6.495306930817422,6.972884640210461,,6.333862116513866,6.734095785513942,6.060686206962548,4,True,1.5,75.16433931048137,83.05959672491825,2026-11-05,2026-04-24,última,,,False,False,,,Em Baixa,3.809999942779541,-9.186349340919675,-30.413383648246693,True,False,False,sem sinal (Em Baixa; sem novo topo (-9.2%))
MULT3,BOVA11+SMALL11,BOVA11,Imobiliário,63.05,61.57,71.42857142857143,,,0.8,,87.53,39.62,41.95,38.89,27,Não,6,7,False,,True,,False,False,True,True,True,True,5,7,True,True,True,True,True,,True,False,True,,True,13764036608.0,10.29,2.11,4.04,3.71,20.52,18.7,43.42,,1.64,0.75,0.81,28.030000686645508,7.420279021147675,13.764617584228937,36.09305239048134,28.53418367164079,44.67520127994525,30.76676373157408,32.31361803106107,29.08225622795496,4,True,6.0,3.7540332341510885,9.763692393459223,2026-10-29,2026-07-01,última,,,False,False,,,Em Baixa,29.06999969482422,-3.5775680051482017,-20.545747205000964,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.6%))
CYRE3,BOVA11+SMALL11,BOVA11,Consumo discricionário,62.01,62.87,57.142857142857146,,,0.9,,61.52,64.01,61.89,68.06,28,Não,4,7,False,,True,,False,False,True,True,False,True,4,7,True,True,False,True,False,,True,False,True,,True,7861803008.0,4.97,0.93,10.67,7.26,18.6,6.91,20.76,,3.78,0.75,0.42,21.459999084472656,11.133976797315134,20.65352695901957,57.21227120105888,47.34796190462902,82.68351438631119,51.974318612754665,52.28011655284395,47.05210489755956,4,True,7.4,119.25492499952632,142.1916161700146,2026-08-13,2025-12-10,última,,,False,False,,,Em Baixa,21.829999923706055,-1.694919104564907,-40.41396420723346,True,False,False,sem sinal (Em Baixa; sem novo topo (-1.7%))
DIRR3,BOVA11+SMALL11,BOVA11,Consumo discricionário,61.91,62.75,57.142857142857146,,,0.9,,73.0,43.22,50.33,90.28,29,Não,4,7,False,,True,,False,False,True,False,True,True,4,7,True,True,False,True,False,,True,False,True,,True,5886442496.0,7.19,2.83,13.39,12.12,39.35,10.1,18.16,,4.26,1.3,1.42,11.319999694824219,9.800078844153344,16.12075400024712,18.498872969916096,11.903646225953244,27.04656617738952,16.673983643531862,16.12075400024712,14.50867860022241,5,True,2.8,28.16854232651731,47.29667926718775,n/d,2025-12-17,última,,,False,False,,,Em Baixa,11.84000015258789,-4.391895701538607,-34.406758943578396,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.4%))
CEAB3,BOVA11+SMALL11,BOVA11,Consumo discricionário,61.91,64.01,50.0,,,0.9,,61.95,84.59,42.97,63.89,30,Não,4,7,False,,False,,False,,True,True,False,True,3,6,True,True,True,False,False,,True,False,True,,True,2673116928.0,5.03,0.74,5.68,6.49,14.79,14.93,7.02,,1.67,0.72,0.5,8.90999984741211,4.128442068821217,7.658260037663357,23.470675542387756,21.906303649867674,29.140929503734593,24.839302898663345,23.470675542387756,21.12360798814898,3,True,7.1,137.07753479125242,178.78005975362464,n/d,2025-12-26,última,,,False,False,,,Em Baixa,9.779999732971191,-8.895704594204258,-50.702842588829796,True,False,False,sem sinal (Em Baixa; sem novo topo (-8.9%))
KEPL3,SMALL11,SMALL11,Bens Industriais,61.81,65.15,42.857142857142854,,,0.7,,67.72,52.12,59.98,96.53,31,Não,5,7,False,,True,,False,False,True,True,False,False,3,7,True,True,True,False,False,,True,True,True,,True,1043011008.0,7.43,1.39,7.08,16.55,18.67,13.9,10.19,,2.02,0.42,,6.019999980926514,7.114508401974182,10.35872423327441,8.426379515697947,8.885583285763673,,8.696298859177553,8.65598140073081,7.790383260657729,4,True,1.5,29.40836022160156,44.456792138380386,n/d,2025-12-16,última,,,False,False,,,Em Baixa,6.489999771118164,-7.241907654346091,-42.66666684831891,True,False,False,sem sinal (Em Baixa; sem novo topo (-7.2%))
BBDC3,BOVA11,BOVA11,Produtos financeiros,61.44,60.52,66.66666666666667,15.65,,0.4,,51.13,67.19,66.43,74.31,32,Não,3,6,False,,True,,False,False,True,,True,True,4,6,True,False,False,,True,,True,False,True,,True,164137533440.0,6.48,0.92,9.33,8.7,14.13,0.0,26.07,,,,1.05,15.069999694824219,9.359873949531082,17.362566176380152,30.81442838833655,29.27676494917426,34.567218800769304,19.17895617141593,17.362566176380152,15.626309558742138,3,True,3.3,3.6915054756702093,27.26580331652515,2026-11-04,2026-09-02,próxima,,,False,False,,,Em Baixa,16.50238800048828,-8.679885030104007,-17.153222926086354,True,False,False,sem sinal (Em Baixa; sem novo topo (-8.7%))
BBSE3,BOVA11,BOVA11,Insurance,61.35,60.41,66.66666666666667,,1.3,0.3,,68.46,32.94,61.0,91.67,33,Não,5,6,False,,True,,True,False,True,,False,True,4,6,True,True,False,,True,,True,True,True,,True,74213933056.0,8.11,6.84,17.34,12.84,84.38,0.0,87.93,,,,,38.22999954223633,35.05899010658737,51.04588959519122,49.02490693455707,24.347651334924315,,45.04326221211189,49.02490693455707,44.12241624110137,3,True,1.5,15.413070283600527,17.821770210455547,2026-11-03,2026-08-07,última,,,False,False,,,Lateral,40.51827621459961,-5.647517333273832,-6.22014774967119,True,False,False,sem sinal (Lateral; sem novo topo (-5.6%))
GMAT3,SMALL11,SMALL11,Bens de primeira necessidade,61.11,60.13,66.66666666666667,,,0.0,,53.69,81.96,60.39,34.03,34,Não,3,7,False,,True,,False,,True,True,False,True,4,6,True,True,False,False,False,,True,False,True,,True,8474993152.0,4.96,0.79,3.2,3.24,15.83,10.88,4.49,,1.71,0.56,0.37,3.680000066757202,0.8513919173776626,1.5793320067355643,9.830645339623574,8.818296592976612,12.261106502879759,,,,3,False,14.4,,,n/d,2025-11-21,última,,,False,False,,,Em Baixa,4.03000020980835,-8.6848666210812,-51.48199222230371,True,False,False,sem sinal (Em Baixa; sem novo topo (-8.7%))
